Name;Latitude;Longitude;Address;Rating;Reviews;Ratings Total;Postal Code;Street Number;Route;Locality;Admin Area Level 1;Admin Area Level 2;Country;Phone Number;Website;Opening Hours
e-nuevo Charging Station;51.6176;5.2841912;N/A;0;[];0;5296 KH;6;Witvensedijk;Esch;Noord-Brabant;Boxtel;Netherlands;088 011 0297;N/A;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Last Mile Solutions Charging Station;51.6071219;5.291605;N/A;0;[];0;5296 NV;6;Broxven;Esch;Noord-Brabant;Boxtel;Netherlands;020 765 7000;https://www.threeforce.eu/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;51.607595;5.289706;N/A;0;[];0;5296 KW;3;Leunisdijk;Esch;Noord-Brabant;Boxtel;Netherlands;088 010 9500;https://www.shell.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
E-Flux Charging Station;51.61284819999999;5.2875326;N/A;0;[];0;5296 KB;18F;Haarenseweg;Esch;Noord-Brabant;Boxtel;Netherlands;020 763 0620;https://www.e-flux.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;51.6282781;5.236249;N/A;0;[];0;5268 KJ;16f;Rijksweg;Helvoirt;Noord-Brabant;Vught;Netherlands;088 775 5444;https://evbox.com/nl-nl/;N/A
EVBox Charging Station;51.60453949999999;5.236850899999999;N/A;0;[];0;5076 PM;20;Roonsestraat;Haaren;Noord-Brabant;Oisterwijk;Netherlands;088 775 5450;https://evbox.com/en/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;51.611872;5.289911000000001;N/A;0;[];0;5296 KA;5;Haarenseweg;Esch;Noord-Brabant;Boxtel;Netherlands;088 010 9500;https://shellrecharge.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Ecotap Charging Station;51.6289595;5.234108099999999;N/A;0;[];0;5268 KJ;15;Rijksweg;Helvoirt;Noord-Brabant;Vught;Netherlands;0411 745 020;https://www.ecotap.nl/en/support/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Tesla Destination Charger;51.5950247;5.2803246;N/A;0;[];0;5282 JE;32;Nergena;Boxtel;Noord-Brabant;Boxtel;Netherlands;0411 602 385;https://www.tesla.com/charging;N/A
Vattenfall Charging Station;51.61143;5.29075;N/A;5;[];1;5296 LS;1;Dorpsstraat;Esch;Noord-Brabant;Boxtel;Netherlands;088 363 7991;https://incharge.vattenfall.nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Ecotap Charging Station;51.6143172;5.2955577;N/A;0;[];0;5296 LV;40A;Dorpsstraat;Esch;Noord-Brabant;Boxtel;Netherlands;0411 745 020;https://www.ecotap.nl/en/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Vattenfall Charging Station;51.60906749999999;5.292199399999999;N/A;0;[];0;5296;5296;Het Kruys;Esch;Noord-Brabant;Boxtel;Netherlands;088 363 7991;https://incharge.vattenfall.nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
ABL Charging Station;51.6117389;5.2879418;N/A;0;[];0;5296 LK;26;Hulsberg;Esch;Noord-Brabant;Boxtel;Netherlands;0800 5223727;https://www.ablmobility.de/en/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
