Name;Latitude;Longitude;Address;Rating;Reviews;Ratings Total;Postal Code;Street Number;Route;Locality;Admin Area Level 1;Admin Area Level 2;Country;Phone Number;Website;Opening Hours
Allego Charging Station;52.12173199999999;5.418602;N/A;0;[];0;3833 BP;2;Zuiderinslag;Leusden;Utrecht;Leusden;Netherlands;088 033 3033;https://www.allego.eu/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.12276749999999;5.4142035;N/A;0;[];0;3833 BP;2;Zuiderinslag;Leusden;Utrecht;Leusden;Netherlands;088 033 3033;N/A;N/A
E-Flux Charging Station;52.1221439;5.400126999999999;N/A;0;[];0;3832 GX;28;Treekerweg;Leusden;Utrecht;Leusden;Netherlands;020 763 0620;https://www.e-flux.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Porsche Smart Mobility Charging Station;52.1226365;5.417561999999999;N/A;0;[];0;3833 BP;8;Zuiderinslag;Leusden;Utrecht;Leusden;Netherlands;020 808 2979;https://www.porsche.com/;N/A
Shell Recharge Charging Station;52.12341;5.399714899999999;N/A;0;[];0;3832 GX;2;Treekerweg;Leusden;Utrecht;Leusden;Netherlands;088 010 9500;https://shellrecharge.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Last Mile Solutions Charging Station;52.0917798;5.361146700000001;N/A;0;[];0;3931 MH;23;Doornseweg;Woudenberg;Utrecht;Woudenberg;Netherlands;010 436 5065;http://www.lastmilesolutions.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
PitPoint Charging Station;52.1150458;5.4134619;N/A;0;[];0;3832 LN;N/A;Karel Brouwerhof;Leusden;Utrecht;Leusden;Netherlands;N/A;N/A;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
TotalEnergies Charging Station;52.1164413;5.409332699999999;N/A;0;[];0;3832 LH;N/A;Jan Wagenaarlaan;Leusden;Utrecht;Leusden;Netherlands;030 410 0887;https://services.totalenergies.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.09113010000001;5.3969209;N/A;0;[];0;2517 JR;9;Johan de Wittlaan;Den Haag;Utrecht;Leusden;Netherlands;088 775 5444;https://evbox.com/nl-nl/;N/A
Eneco Charging Station;52.1227715;5.4141976;N/A;0;[];0;3833 BP;2;Zuiderinslag;Leusden;Utrecht;Leusden;Netherlands;040 636 0171;https://www.eneco.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
TotalEnergies Charging Station;52.1148059;5.4169596;N/A;0;[];0;3832 KT;35;Rita de Voogdstraat;Leusden;Utrecht;Leusden;Netherlands;030 410 0800;https://www.pitpointcleanfuels.com/nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
PitPoint Charging Station;52.1201737;5.4114404;N/A;0;[];0;3832 JH;20;Het Spul;Leusden;Utrecht;Leusden;Netherlands;030 410 0800;https://www.pitpointcleanfuels.com/nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
PitPoint Charging Station;52.11765159999999;5.4047227;N/A;0;[];0;3832 CP;2A;Maria Stuartlaan;Leusden;Utrecht;Leusden;Netherlands;030 410 0800;https://www.pitpointcleanfuels.com/nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
PitPoint Charging Station;52.1264954;5.4156374;N/A;0;[];0;3833 JM;1;Kuperssingel;Leusden;Utrecht;Leusden;Netherlands;070 318 0480;https://www.total.nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
TotalEnergies Charging Station;52.1248218;5.4161832;N/A;0;[];0;3833 HB;63a;Wildenburgstraat;Leusden;Utrecht;Leusden;Netherlands;09 77 40 50 60;https://evcharge.totalenergies.com;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
PitPoint Charging Station;52.11935560000001;5.408138399999999;N/A;0;[];0;3832 AA;7;De Roo van Alderwereltlaan;Leusden;Utrecht;Leusden;Netherlands;030 410 0800;N/A;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
PitPoint Charging Station;52.1185038;5.414413800000001;N/A;0;[];0;3832 KA;31;Genthoek;Leusden;Utrecht;Leusden;Netherlands;030 410 0800;https://www.pitpointcleanfuels.com/nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
NewMotion Charging Station;52.1160843;5.4149484;N/A;0;[];0;3832 AS;N/A;Anna Aleidalaan;Leusden;Utrecht;Leusden;Netherlands;088 010 9500;https://newmotion.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
PitPoint Charging Station;52.1158519;5.4122784;N/A;0;[];0;3832 LK;3;Petri Markensteinstraat;Leusden;Utrecht;Leusden;Netherlands;030 410 0800;https://www.pitpointcleanfuels.com/nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
