Name;Latitude;Longitude;Address;Rating;Reviews;Ratings Total;Postal Code;Street Number;Route;Locality;Admin Area Level 1;Admin Area Level 2;Country;Phone Number;Website;Opening Hours
Greenflux Charging Station;52.4080233;4.6135041;N/A;0;[];0;2061 JS;114;Brederodelaan;Bloemendaal;Noord-Holland;Bloemendaal;Netherlands;01 76 54 41 19;https://www.greenflux.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
NL MAB Laadoplossingen Charging Station;52.3962624;4.612179500000001;N/A;0;[];0;2051 GJ;158;Bloemendaalseweg;Overveen;Noord-Holland;Bloemendaal;Netherlands;023 531 9136;https://www.nlmab.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.39546120000001;4.5927609;N/A;5;[];1;2051 EC;12;Zeeweg;Overveen;Noord-Holland;Bloemendaal;Netherlands;0800 3745337;https://www.allego.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.4082;4.60957;N/A;0;[];0;2061 HS;6;Kennemerweg;Bloemendaal;Noord-Holland;Bloemendaal;Netherlands;N/A;https://evbox.com/;N/A
TotalEnergies Charging Station;52.3952042;4.6143043;N/A;0;[];0;2051 NB;12;Dompvloedslaan;Overveen;Noord-Holland;Bloemendaal;Netherlands;016 93 80 14;https://www.total.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
NL MAB Charging Station;52.402001;4.6048798;N/A;0;[];0;2061 AE;31;Hoge Duin en Daalseweg;Bloemendaal;Noord-Holland;Bloemendaal;Netherlands;010 436 5065;https://www.nlmab.nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.4074214;4.6092539;N/A;0;[];0;2061 AM;13;Koninginneduinweg;Bloemendaal;Noord-Holland;Bloemendaal;Netherlands;088 775 5444;N/A;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.417709;4.554378;N/A;2;[];1;2051 EC;1;Parnassiaweg;Overveen;Noord-Holland;Bloemendaal;Netherlands;0800 3745337;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
PitPoint Charging Station;52.3930089;4.6108082;N/A;0;[];0;2051 LG;261;Cearalaan;Overveen;Noord-Holland;Bloemendaal;Netherlands;030 410 0800;https://www.pitpointcleanfuels.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
