Name;Latitude;Longitude;Address;Rating;Reviews;Ratings Total;Postal Code;Street Number;Route;Locality;Admin Area Level 1;Admin Area Level 2;Country;Phone Number;Website;Opening Hours
Threeforce Charging Station;52.29373500000001;4.769666;N/A;0;[];0;1118 LK;2;Reykjavikweg;Schiphol;Noord-Holland;Haarlemmermeer;Netherlands;N/A;https://www.threeforce.eu/;N/A
Last Mile Solutions Charging Station;52.322312;4.7990029;N/A;0;[];0;1118 AM;19;Cateringweg;Schiphol;Noord-Holland;Haarlemmermeer;Netherlands;010 436 5065;http://www.lastmilesolutions.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.29518239999999;4.7681936;N/A;0;[];0;1118 LD;32;Anchoragelaan;Schiphol;Noord-Holland;Haarlemmermeer;Netherlands;088 775 5450;https://evbox.com;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.3105406;4.7682743;N/A;0;[];0;1117 CE;N/A;N/A;Schiphol;Noord-Holland;Haarlemmermeer;Netherlands;088 775 5450;https://evbox.com;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.2934563;4.7688868;N/A;0;[];0;1118 LH;1;Ganderweg;Schiphol;Noord-Holland;Haarlemmermeer;Netherlands;088 775 5450;https://evbox.com;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.3138398;4.8098779;N/A;0;[];0;1117 BM;401;Hendrik Walaardt Sacréstraat;Schiphol;Noord-Holland;Haarlemmermeer;Netherlands;088 775 5450;https://evbox.com/en/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Threeforce Charging Station;52.2951823;4.768193399999999;N/A;0;[];0;1118 LD;32;Anchoragelaan;Schiphol;Noord-Holland;Haarlemmermeer;Netherlands;N/A;N/A;N/A
EVBox Charging Station;52.2965808;4.8141888;N/A;0;[];0;1182 DB;67;Rietwijkeroordweg;Amstelveen;Noord-Holland;Aalsmeer;Netherlands;088 775 5450;https://evbox.com;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
MAXEM Charging Station;52.2928252;4.7694694;N/A;0;[];0;1118 LH;1;Ganderweg;Schiphol;Noord-Holland;Haarlemmermeer;Netherlands;020 770 8713;https://maxem.io/en/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.3225766;4.7668969;N/A;0;[];0;1118 ZG;N/A;Holiday Avenue;Schiphol;Noord-Holland;Haarlemmermeer;Netherlands;088 775 5450;https://evbox.com;N/A
