Name;Latitude;Longitude;Address;Rating;Reviews;Ratings Total;Postal Code;Street Number;Route;Locality;Admin Area Level 1;Admin Area Level 2;Country;Phone Number;Website;Opening Hours
Allego Charging Station;52.3608661;5.767911;N/A;4.8;[];4;8077 SV;N/A;A28;Nunspeet;Gelderland;Nunspeet;Netherlands;0800 3745337;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Threeforce Charging Station;52.3727502;5.785940699999999;N/A;0;[];0;8071 BR;42;Spoorlaan;Nunspeet;Gelderland;Nunspeet;Netherlands;N/A;N/A;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;52.374727;5.7781705;N/A;0;[];0;8071 DV;11;Nieuw-Amsterdamweg;Nunspeet;Gelderland;Nunspeet;Netherlands;088 010 9500;https://shellrecharge.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Eneco Charging Station;52.3755252;5.7666076;N/A;0;[];0;8071 SC;18;Galvaniweg;Nunspeet;Gelderland;Nunspeet;Netherlands;040 636 0171;https://www.eneco.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
MAXEM Charging Station;52.3775394;5.786951;N/A;0;[];0;8071 JA;24;Laan;Nunspeet;Gelderland;Nunspeet;Netherlands;020 770 8713;https://maxem.io/en/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Threeforce Charging Station;52.3703514;5.786889;N/A;0;[];0;8072 PX;5;Vennenpad;Nunspeet;Gelderland;Nunspeet;Netherlands;N/A;https://www.lastmilesolutions.com/;N/A
EVBox Charging Station;52.3665165;5.7677518;N/A;0;[];0;8071 DA;18;Energieweg;Nunspeet;Gelderland;Nunspeet;Netherlands;N/A;https://evbox.com/nl-nl/station-map;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.3685174;5.766796800000001;N/A;0;[];0;8071 DA;1;Energieweg;Nunspeet;Gelderland;Nunspeet;Netherlands;N/A;https://evbox.com/en/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.3628207;5.7665712;N/A;0;[];0;8077 SV;81;Schotweg;Hulshorst;Gelderland;Nunspeet;Netherlands;0800 3745337;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Eneco Charging Station;52.38377999999999;5.78453;N/A;0;[];0;8071 TP;1;Het Groene Portaal;Nunspeet;Gelderland;Nunspeet;Netherlands;N/A;https://www.eneco.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
DAEN Mobility Charging Station;52.3921644;5.7813982;N/A;0;[];0;8071 TJ;91;Molenweg;Nunspeet;Gelderland;Nunspeet;Netherlands;088 434 3900;https://daenmobility.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.3694474;5.7765463;N/A;5;[];1;8071 CT;24;Industrieweg;Nunspeet;Gelderland;Nunspeet;Netherlands;088 775 5444;https://evbox.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.3711262;5.7664905;N/A;0;[];0;8071 ZC;53;Jan Topweg;Nunspeet;Gelderland;Nunspeet;Netherlands;0800 3745337;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
NL MAB Exploitatie Charging Station;52.36682;5.782426999999999;N/A;0;[];0;8071 PA;14;Elspeterweg;Nunspeet;Gelderland;Nunspeet;Netherlands;023 531 9136;N/A;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Eneco Charging Station;52.3777027;5.7976074;N/A;0;[];0;8072 DB;46;Eperweg;Nunspeet;Gelderland;Nunspeet;Netherlands;N/A;https://www.eneco-emobility.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.3722;5.76166;N/A;0;[];0;8071 KN;30;Kuntzestraat;Nunspeet;Gelderland;Nunspeet;Netherlands;0800 3745337;https://www.allego.eu/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
LastMile Solutions Charging Station;52.3746371;5.7719625;N/A;0;[];0;8071 EN;85;Harderwijkerweg;Nunspeet;Gelderland;Nunspeet;Netherlands;010 436 5065;http://www.lastmilesolutions.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.3904256;5.814327899999999;N/A;0;[];0;8072 PB;109;Oosteinderweg;Nunspeet;Gelderland;Nunspeet;Netherlands;088 775 5444;https://evbox.com;N/A
EVBOX Charging Station;52.3874644;5.791054099999999;N/A;0;[];0;8071 TA;37;Elburgerweg;Nunspeet;Gelderland;Nunspeet;Netherlands;088 775 5450;https://evbox.com/en/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.381419;5.80828;N/A;0;[];0;8072 CD;63;Vlaanderenlaan;Nunspeet;Gelderland;Nunspeet;Netherlands;N/A;https://evbox.com/nl-nl/;N/A
Allego Charging Station;52.383902;5.7783381;N/A;0;[];0;8071 LE;59;Oranjelaan;Nunspeet;Gelderland;Nunspeet;Netherlands;088 033 3033;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.381803;5.780654999999999;N/A;0;[];0;8071 LW;N/A;Prins Bernhardstraat;Nunspeet;Gelderland;Nunspeet;Netherlands;088 033 3033;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.37743159999999;5.7841285;N/A;0;[];0;8071 GK;24;Dominee Martiniuslaan;Nunspeet;Gelderland;Nunspeet;Netherlands;0800 3745337;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;52.378936;5.777176;N/A;0;[];0;8071 RZ;104;Zwolsewegje;Nunspeet;Gelderland;Nunspeet;Netherlands;088 010 9500;https://shellrecharge.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
E-Flux Charging Station;52.389777;5.783986000000001;N/A;0;[];0;8071 TG;73;Meelzolder;Nunspeet;Gelderland;Nunspeet;Netherlands;020 763 0620;https://www.e-flux.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.3895436;5.813291299999999;N/A;0;[];0;8072 PB;105;Oosteinderweg;Nunspeet;Gelderland;Nunspeet;Netherlands;088 775 5444;https://evbox.com;N/A
Allego Charging Station;52.374471;5.783696;N/A;0;[];0;8071 BS;2;kerkendriest;Nunspeet;Gelderland;Nunspeet;Netherlands;0800 3745337;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.3701957;5.7782826;N/A;0;[];0;8071 CT;20;Industrieweg;Nunspeet;Gelderland;Nunspeet;Netherlands;088 775 5450;https://evbox.com/nl-nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Maxem Charging Station;52.3698919;5.7896658;N/A;0;[];0;8072 PV;3;Ericaweg;Nunspeet;Gelderland;Nunspeet;Netherlands;010 436 5065;https://maxem.io/nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.37868899999999;5.787565;N/A;0;[];0;8071 AR;8;Bosweg;Nunspeet;Gelderland;Nunspeet;Netherlands;0800 3745337;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.38219429999999;5.7910433;N/A;0;[];0;8072 MB;2;Larikserf;Nunspeet;Gelderland;Nunspeet;Netherlands;0800 3745337;https://www.allego.eu/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.38452299999999;5.782723;N/A;0;[];0;8071 TR;10;De Buntehof;Nunspeet;Gelderland;Nunspeet;Netherlands;0800 3745337;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
NewMotion Charging Station;52.3695792;5.773825599999999;N/A;0;[];0;8071 CS;47;Industrieweg;Nunspeet;Gelderland;Nunspeet;Netherlands;088 010 9500;https://newmotion.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.3753682;5.7671006;N/A;0;[];0;8071 SC;14;Galvaniweg;Nunspeet;Gelderland;Nunspeet;Netherlands;088 775 5444;https://evbox.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
