Name;Latitude;Longitude;Address;Rating;Reviews;Ratings Total;Postal Code;Street Number;Route;Locality;Admin Area Level 1;Admin Area Level 2;Country;Phone Number;Website;Opening Hours
E-Flux Charging Station;52.244461;6.778467;N/A;0;[];0;7554 TW;50;Spinelstraat;Hengelo;Overijssel;Hengelo;Netherlands;020 763 0620;https://www.e-flux.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.24321;6.763722;N/A;0;[];0;7554 NK;5;Zilverstraat;Hengelo;Overijssel;Hengelo;Netherlands;088 033 3033;https://www.allego.eu/;['Monday: 8:00\u2009–\u20099:00\u202fAM, 5:00\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u2009–\u20099:00\u202fAM, 5:00\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u2009–\u20099:00\u202fAM, 5:00\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u2009–\u20099:00\u202fAM, 5:00\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u2009–\u20099:00\u202fAM, 5:00\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u2009–\u20099:00\u202fAM, 5:00\u2009–\u20096:00\u202fPM', 'Sunday: Closed']
EVBox Charging Station;52.2412305;6.762617199999999;N/A;0;[];0;7554 NG;17;Goudstraat;Hengelo;Overijssel;Hengelo;Netherlands;088 775 5444;https://evbox.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Last Mile Solutions Charging Station;52.2401513;6.779023700000001;N/A;0;[];0;7554 TH;2;Topaasstraat;Hengelo;Overijssel;Hengelo;Netherlands;010 436 5065;http://www.lastmilesolutions.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Eneco Charging Station;52.2411925;6.761977799999999;N/A;0;[];0;7554 NG;31;Goudstraat;Hengelo;Overijssel;Hengelo;Netherlands;040 636 0171;https://www.eneco.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;52.240612;6.775785;N/A;0;[];0;7554 TA;20;Diamantstraat;Hengelo;Overijssel;Hengelo;Netherlands;088 010 9500;https://shellrecharge.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
E-Flux Charging Station;52.25101129999999;6.773817299999999;N/A;0;[];0;7553 GZ;11;Werfstraat;Hengelo;Overijssel;Hengelo;Netherlands;020 763 0620;https://www.e-flux.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
E-Flux Charging Station;52.243936;6.776719;N/A;0;[];0;7554 TS;22;Opaalstraat;Hengelo;Overijssel;Hengelo;Netherlands;020 763 0620;https://www.e-flux.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
E-Flux Charging Station;52.2578494;6.7655521;N/A;0;[];0;7555 EJ;267a;Krabbenbosweg;Hengelo;Overijssel;Hengelo;Netherlands;020 763 0620;https://www.e-flux.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
ABL Charging Station;52.24103539999999;6.7726365;N/A;0;[];0;7554 TH;4;Topaasstraat;Hengelo;Overijssel;Hengelo;Netherlands;0800 5223727;https://www.ablmobility.de/nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.243815;6.769768699999999;N/A;0;[];0;7554 TK;11;Robijnstraat;Hengelo;Overijssel;Hengelo;Netherlands;088 775 5450;https://evbox.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.2348745;6.7831363;N/A;0;[];0;7554 RT;51;Boldershoekweg;Hengelo;Overijssel;Enschede;Netherlands;088 775 5444;https://evbox.com/nl-nl/;N/A
Allego Charging Station;52.245528;6.781964700000001;N/A;0;[];0;7554 RR;1;Zuidelijke Havenweg;Hengelo;Overijssel;Hengelo;Netherlands;088 033 3033;https://www.allego.eu/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
ABL Charging Station;52.24127499999999;6.761801999999999;N/A;0;[];0;7554 ND;20;Goudstraat;Hengelo;Overijssel;Hengelo;Netherlands;0800 5223727;N/A;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
