Name;Latitude;Longitude;Address;Rating;Reviews;Ratings Total;Postal Code;Street Number;Route;Locality;Admin Area Level 1;Admin Area Level 2;Country;Phone Number;Website;Opening Hours
Shell Recharge Charging Station;52.69888899999999;5.266697;N/A;0;[];0;1601 BL;107;Westeinde;Enkhuizen;Noord-Holland;Enkhuizen;Netherlands;088 010 9500;https://shellrecharge.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
E-Flux Charging Station;52.7008507;5.279428999999999;N/A;0;[];0;1601 CJ;N/A;Korte Tuinstraat;Enkhuizen;Noord-Holland;Enkhuizen;Netherlands;020 763 0620;https://www.e-flux.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
GreenFlux Charging Station;52.7034629;5.2821469;N/A;0;[];0;1601 SL;47;Noorder Boerenvaart;Enkhuizen;Noord-Holland;Enkhuizen;Netherlands;030 410 0877;https://www.greenflux.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Total Charging Station;52.6944212;5.2496098;N/A;0;[];0;1611 DD;39;Keizerskroonweg;Bovenkarspel;Noord-Holland;Stede Broec;Netherlands;030 410 0800;https://evcharge.totalenergies.com/en;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVnetNL Charging Station;52.695434;5.2345689;N/A;0;[];0;1611 KV;5;De Middend;Bovenkarspel;Noord-Holland;Stede Broec;Netherlands;0800 3522365;https://www.evnet.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Greenflux Charging Station;52.70189480000001;5.2771732;N/A;0;[];0;1601 BG;2;Nassaustraat;Enkhuizen;Noord-Holland;Enkhuizen;Netherlands;01 76 54 41 19;https://www.greenflux.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.703886;5.2805542;N/A;0;[];0;1601 SN;62;Noorder Boerenvaart;Enkhuizen;Noord-Holland;Enkhuizen;Netherlands;N/A;N/A;N/A
Greenflux Charging Station;52.695639;5.2421355;N/A;0;[];0;1611 BM;108;Spoorsingel;Bovenkarspel;Noord-Holland;Stede Broec;Netherlands;01 76 54 41 19;https://www.greenflux.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
TotalEnergies Charging Station;52.6911782;5.2473283;N/A;0;[];0;1611 EP;6;Boerhaaveplein;Bovenkarspel;Noord-Holland;Stede Broec;Netherlands;030 410 0800;https://www.pitpointcleanfuels.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
PitPoint Charging Station;52.6998305;5.2874971;N/A;5;[];1;1601 EN;5;Stationsplein;Enkhuizen;Noord-Holland;Enkhuizen;Netherlands;030 410 0877;N/A;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
GreenFlux Charging Station;52.6916264;5.2466582;N/A;0;[];0;1611 EP;6;Boerhaaveplein;Bovenkarspel;Noord-Holland;Stede Broec;Netherlands;030 410 0800;https://www.greenflux.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
GreenFlux Charging Station;52.6941685;5.2672108;N/A;0;[];0;1601 MK;18A;De Trompet;Enkhuizen;Noord-Holland;Enkhuizen;Netherlands;N/A;https://www.greenflux.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
