Name;Latitude;Longitude;Address;Rating;Reviews;Ratings Total;Postal Code;Street Number;Route;Locality;Admin Area Level 1;Admin Area Level 2;Country;Phone Number;Website;Opening Hours
Shell Recharge Charging Station;51.58363809999999;4.9800661;N/A;0;[];0;5035 KE;137;Schipluidenlaan;Tilburg;Noord-Brabant;Tilburg;Netherlands;088 010 9500;https://shellrecharge.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Eneco Charging Station;51.561293;5.0088224;N/A;0;[];0;5036 NB;568;Bredaseweg;Tilburg;Noord-Brabant;Tilburg;Netherlands;N/A;https://www.eneco-emobility.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Last Mile Solutions Charging Station;51.5851032;4.9768029;N/A;0;[];0;5035 AS;2;Ritthemhof;Tilburg;Noord-Brabant;Tilburg;Netherlands;010 436 5065;http://www.lastmilesolutions.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Eneco Charging Station;51.5831075;5.007956099999999;N/A;0;[];0;5043 LW;15;Gendringenlaan;Tilburg;Noord-Brabant;Tilburg;Netherlands;N/A;https://www.eneco-emobility.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;51.5776584;4.9768952;N/A;0;[];0;5035 JN;2;Slagharenerf;Tilburg;Noord-Brabant;Tilburg;Netherlands;088 010 9500;https://www.shell.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;51.5876252;5.0251415;N/A;0;[];0;5047 ST;30;Boterberg;Tilburg;Noord-Brabant;Tilburg;Netherlands;088 775 5444;https://evbox.com/nl-nl/;N/A
Threeforce Charging Station;51.580607;5.020467;N/A;0;[];0;5043 BJ;2;Baflostraat;Tilburg;Noord-Brabant;Tilburg;Netherlands;N/A;https://www.threeforce.eu/;N/A
Threeforce Charging Station;51.589917;5.01498;N/A;0;[];0;5047 TT;38;Persephonéstraat;Tilburg;Noord-Brabant;Tilburg;Netherlands;N/A;https://www.threeforce.eu/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
E-Flux Charging Station;51.5794703;5.0268809;N/A;0;[];0;5044 EL;5;Karel Boddenweg;Tilburg;Noord-Brabant;Tilburg;Netherlands;020 763 0620;https://www.e-flux.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
E-Flux Charging Station;51.57465999999999;5.01806;N/A;0;[];0;5043 JJ;25;Distelbergstraat;Tilburg;Noord-Brabant;Tilburg;Netherlands;020 763 0620;https://www.e-flux.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
