Name;Latitude;Longitude;Address;Rating;Reviews;Ratings Total;Postal Code;Street Number;Route;Locality;Admin Area Level 1;Admin Area Level 2;Country;Phone Number;Website;Opening Hours
EVBox Charging Station;52.1407803;5.567556799999999;N/A;0;[];0;3771 DC;121;Kallenbroekerweg;Barneveld;Gelderland;Barneveld;Netherlands;N/A;https://evbox.com/en/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
LastMileSolutions Charging Station;52.1428156;5.598872000000001;N/A;0;[];0;3771 RN;3;Barnseweg;Barneveld;Gelderland;Barneveld;Netherlands;010 436 5065;http://www.lastmilesolutions.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Threeforce Charging Station;52.1408925;5.5858023;N/A;0;[];0;3771 HB;13;Krommestraat;Barneveld;Gelderland;Barneveld;Netherlands;071 568 1906;https://www.threeforce.eu/;N/A
Threeforce Charging Station;52.141437;5.577318;N/A;0;[];0;3771 DL;7;Hof Van Callenbroeck;Barneveld;Gelderland;Barneveld;Netherlands;071 568 1906;https://www.threeforce.eu/;N/A
EVBox Charging Station;52.1406787;5.591236299999999;N/A;0;[];0;3771 AB;75;Van Zuijlen van Nieveltlaan;Barneveld;Gelderland;Barneveld;Netherlands;088 775 5444;https://evbox.com/nl-nl/;N/A
Threeforce Charging Station;52.1364206;5.586386099999999;N/A;0;[];0;3772 BB;15;Koterweg;Barneveld;Gelderland;Barneveld;Netherlands;071 568 1906;https://www.threeforce.eu/;N/A
Threeforce Charging Station;52.1394432;5.586779;N/A;0;[];0;3771 ER;1;Raadhuisplein;Barneveld;Gelderland;Barneveld;Netherlands;071 568 1906;N/A;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.1391611;5.596718699999999;N/A;0;[];0;3771 RW;2;Doctor Willem Dreeslaan;Barneveld;Gelderland;Barneveld;Netherlands;N/A;https://evbox.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.13607;5.5966236;N/A;0;[];0;3771 AM;8;Marconistraat;Barneveld;Gelderland;Barneveld;Netherlands;088 775 5444;N/A;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
E-Flux Charging Station;52.1264568;5.5931353;N/A;0;[];0;3772 PT;1;Phoenixlaan;Barneveld;Gelderland;Barneveld;Netherlands;020 763 0620;https://www.e-flux.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Threeforce Charging Station;52.1394767;5.5883289;N/A;0;[];0;3771 AW;11;Nairacstraat;Barneveld;Gelderland;Barneveld;Netherlands;071 568 1906;https://www.threeforce.eu/;N/A
Threeforce Charging Station;52.127842;5.57909;N/A;0;[];0;3772 ZX;1;Zoete Kroon;Barneveld;Gelderland;Barneveld;Netherlands;071 568 1906;https://www.threeforce.eu/;N/A
EVBox Charging Station;52.1297538;5.569115;N/A;0;[];0;3772 MS;6;Parmentierstraat;Barneveld;Gelderland;Barneveld;Netherlands;N/A;https://evbox.com/nl-nl/station-map;N/A
Threeforce Charging Station;52.1416338;5.5738149;N/A;0;[];0;3771 GB;N/A;Bilderdijkstraat;Barneveld;Gelderland;Barneveld;Netherlands;071 568 1906;https://www.threeforce.eu/;N/A
