Name;Latitude;Longitude;Address;Rating;Reviews;Ratings Total;Postal Code;Street Number;Route;Locality;Admin Area Level 1;Admin Area Level 2;Country;Phone Number;Website;Opening Hours
BlueMarble Charging Station;50.8677635;5.824247499999999;N/A;0;[];0;6301 WH;53;Koningswinkelstraat;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;085 018 6990;https://www.bluemarblecharging.com;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Last Mile Solutions Charging Station;50.867468;5.8330181;N/A;0;[];0;6301 ES;7;Nieuweweg;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;010 436 5065;http://www.lastmilesolutions.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Threeforce Charging Station;50.8716024;5.823432700000001;N/A;0;[];0;6301 HM;2;Bosstraat;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;N/A;N/A;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Threeforce Charging Station;50.87098599999999;5.795027999999999;N/A;0;[];0;6301 KA;35;Onderstestraat;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;010 436 5065;http://www.lastmilesolutions.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EV Wise Charging Station;50.858821;5.835257899999999;N/A;0;[];0;6301 CJ;68;Neerhem;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;088 989 9970;https://ev-wise.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
NL MAB Charging Station;50.867505;5.832939;N/A;0;[];0;6301 ES;7;Nieuweweg;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;010 436 5065;https://www.nlmab.nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Threeforce Charging Station;50.8695302;5.8256656;N/A;0;[];0;6301 HD;33;Broekhem;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;N/A;http://www.lastmilesolutions.com/;N/A
Last Mile Solutions Charging Station;50.8703456;5.7919251;N/A;0;[];0;6301 KC;66;Onderstestraat;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;010 436 5065;http://www.lastmilesolutions.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Tesla Destination Charger;50.8578821;5.8221538;N/A;1;[];1;6301 BT;29;Cauberg;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;043 458 3590;https://www.tesla.com/charging;N/A
Laadnet Charging Station;50.8751033;5.7841757;N/A;0;[];0;6301 KJ;92;Vroenhof;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;N/A;https://www.laadnet.nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;50.8648099;5.834516199999999;N/A;0;[];0;6301 DX;12;Doctor Erensstraat;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;088 010 9500;https://shellrecharge.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Threeforce Charging Station;50.8606905;5.8334358;N/A;0;[];0;6301 CH;26;Neerhem;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;0592 390 423;N/A;N/A
Laadnet Charging Station;50.8579144;5.8220603;N/A;0;[];0;6301 BT;29;Cauberg;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;088 500 8112;https://www.laadnet.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
LastMileSolutions Charging Station;50.867596;5.78872;N/A;0;[];0;6325 PM;7;Wolfsdriesweg;Berg en Terblijt;Limburg;Valkenburg aan de Geul;Netherlands;010 436 5065;https://www.lastmilesolutions.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;50.8739839;5.82332;N/A;0;[];0;6301 PM;8;De Valkenberg;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;088 775 5444;https://evbox.com;N/A
EVBox Charging Station;50.8732473;5.8203033;N/A;0;[];0;6301 PM;8;De Valkenberg;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;088 775 5444;https://evbox.com;N/A
Threeforce Charging Station;50.869282;5.79803;N/A;0;[];0;6301 KK;1;Joseph Corneli Allee;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;0411 745 020;https://www.ecotap.nl/en/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Last Mile Solutions Charging Station;50.871695;5.815780999999999;N/A;0;[];0;6301 HL;134;Broekhem;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;010 436 5065;http://www.lastmilesolutions.com;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;50.8666387;5.8274436;N/A;3.7;[];3;6301 GV;28;Prins Bernhardlaan;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;0800 3745337;https://www.allego.eu/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;50.86589900000001;5.83658;N/A;0;[];0;6301 DK;23A;Pastoor Sartonstraat;Valkenburg;Limburg;Valkenburg aan de Geul;Netherlands;088 033 3033;https://www.allego.eu/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
