Name;Latitude;Longitude;Address;Rating;Reviews;Ratings Total;Postal Code;Street Number;Route;Locality;Admin Area Level 1;Admin Area Level 2;Country;Phone Number;Website;Opening Hours
Last Mile Solutions Charging Station;52.7626555;6.9099156;N/A;0;[];0;7821 AW;31A;Rondweg;Emmen;Drenthe;Emmen;Netherlands;010 436 5065;http://www.lastmilesolutions.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;52.7802927;6.9094319;N/A;0;[];0;7822 HL;24;Angelsloërdijk;Emmen;Drenthe;Emmen;Netherlands;088 010 9500;https://shellrecharge.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;52.7702612;6.9181332;N/A;0;[];0;7821 AP;9;Kapitein Grantstraat;Emmen;Drenthe;Emmen;Netherlands;088 010 9500;https://shellrecharge.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Threeforce Charging Station;52.78466299999999;6.8953346;N/A;0;[];0;7811 EC;47;Hoofdstraat;Emmen;Drenthe;Emmen;Netherlands;010 707 8356;https://www.threeforce.eu/;N/A
EVBox Charging Station;52.77248849999999;6.918370299999999;N/A;0;[];0;7821 AC;18;Kapitein Nemostraat;Emmen;Drenthe;Emmen;Netherlands;088 775 5450;https://evbox.com;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.7878784;6.8984256;N/A;0;[];0;7811 GN;33;Minister Kanstraat;Emmen;Drenthe;Emmen;Netherlands;088 775 5444;https://evbox.com/nl-nl/;N/A
E-Flux Charging Station;52.769155;6.900862000000001;N/A;0;[];0;7821 CE;110;Nijbracht;Emmen;Drenthe;Emmen;Netherlands;020 763 0620;https://www.e-flux.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;52.776545;6.891109999999999;N/A;5;[];1;7812 AM;16;Hooggoorns;Emmen;Drenthe;Emmen;Netherlands;088 010 9500;https://shellrecharge.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
ABL Charging Station;52.774018;6.880557;N/A;0;[];0;7812 BG;N/A;Ermerweg;Emmen;Drenthe;Emmen;Netherlands;0800 5223727;https://www.ablmobility.de/nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
ABL Charging Station;52.7744969;6.917120799999999;N/A;0;[];0;7821 AC;N/A;Kapitein Nemostraat;Emmen;Drenthe;Emmen;Netherlands;0800 3322233;N/A;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.779061;6.8905151;N/A;4;[];1;7812 BG;28;Ermerweg;Emmen;Drenthe;Emmen;Netherlands;N/A;https://evbox.com/nl-nl/station-map;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.7807933;6.927129799999999;N/A;0;[];0;7824 GV;2;Thedingecamp;Emmen;Drenthe;Emmen;Netherlands;088 775 5444;https://evbox.com/nl-nl/;N/A
Lidl Charging Station;52.7757862;6.8942;N/A;5;[];7;7811 LP;N/A;N/A;Emmen;Drenthe;Emmen;Netherlands;N/A;N/A;['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']
Allego Charging Station;52.762034;6.888370999999999;N/A;0;[];0;7812 HS;31;Calthornerbrink;Emmen;Drenthe;Emmen;Netherlands;088 033 3033;https://www.allego.eu/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.7822869;6.907562899999999;N/A;0;[];0;7822 HK;13-D;Angelsloërdijk;Emmen;Drenthe;Emmen;Netherlands;0800 3745337;https://www.allego.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.779666;6.903483;N/A;3;[];1;7811 HN;55;Van Schaikweg;Emmen;Drenthe;Emmen;Netherlands;0800 3745337;https://www.allego.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
