Id;Measure;WijkenEnBuurten;Value;StringValue;ValueAttribute
165;M000200_2;WK168000;390;;None
166;301000;WK168000;20;;None
167;300003;WK168000;45;;None
168;300005;WK168000;65;;None
169;383105;WK168000;15;;None
170;300009;WK168000;35;;None
171;300010;WK168000;90;;None
172;300012;WK168000;80;;None
173;300014;WK168000;40;;None
174;A018943_2;WK168000;2115;;None
175;A019276;WK168000;1630;;None
176;D001045;WK168000;480;;None
177;M000368;WK168000;1,3;;None
178;A018943_4;WK168000;144;;None
179;A018944;WK168000;210;;None
180;T001455_2;WK168000;1478;;None
181;A047044;WK168000;1465;;None
182;A047040;WK168000;13;;None
183;ST0001;WK168000;5;;None
184;ST0003;WK168000;394;;None
185;GM000C;BU16800000;;Aa en Hunze                             ;None
186;R00003;BU16800000;;Buurt     ;None
187;R00004;BU16800000;;BU16800000;None
188;M000125;BU16800000;;1;None
189;T001036;BU16800000;3435;;None
190;3000;BU16800000;1675;;None
191;4000;BU16800000;1765;;None
192;10680;BU16800000;495;;None
193;53050;BU16800000;340;;None
194;53310;BU16800000;610;;None
195;53715;BU16800000;1065;;None
196;80200;BU16800000;925;;None
197;1010;BU16800000;1365;;None
198;1020;BU16800000;1590;;None
199;1080;BU16800000;265;;None
200;1050;BU16800000;215;;None
201;2012655;BU16800000;115;;None
202;2012657_2;BU16800000;80;;None
203;H008673;BU16800000;0;;None
204;H007119;BU16800000;0;;None
205;H008751;BU16800000;5;;None
206;H008766;BU16800000;0;;None
207;A008187;BU16800000;70;;None
208;1050010_2;BU16800000;1525;;None
209;1050015;BU16800000;435;;None
210;1016040;BU16800000;590;;None
211;1016030;BU16800000;505;;None
212;M000114;BU16800000;2,2;;None
213;M000100;BU16800000;1362;;None
214;M000297;BU16800000;1572;;None
215;M001642;BU16800000;289;;None
216;ZW10290;BU16800000;90;;None
217;ZW10340;BU16800000;10;;None
218;A028725;BU16800000;96;;None
219;A028726;BU16800000;4;;None
220;1014800_1;BU16800000;74;;None
221;1014850_2;BU16800000;26;;None
222;A047047;BU16800000;20;;None
223;A047048;BU16800000;6;;None
224;A047051;BU16800000;0;;None
225;ZW25808;BU16800000;88;;None
226;ZW25807;BU16800000;12;;None
227;M000200_2;BU16800000;360;;None
228;301000;BU16800000;15;;None
229;300003;BU16800000;45;;None
230;300005;BU16800000;60;;None
231;383105;BU16800000;10;;None
232;300009;BU16800000;35;;None
233;300010;BU16800000;80;;None
234;300012;BU16800000;75;;None
235;300014;BU16800000;35;;None
236;A018943_2;BU16800000;2015;;None
237;A019276;BU16800000;1560;;None
238;D001045;BU16800000;455;;None
239;M000368;BU16800000;1,3;;None
240;A018943_4;BU16800000;798;;None
241;A018944;BU16800000;200;;None
242;T001455_2;BU16800000;252;;None
243;A047044;BU16800000;252;;None
244;A047040;BU16800000;0;;None
245;PC000C;BU16800000;;      9468;None
246;M000217;BU16800000;1;;None
247;ST0001;BU16800000;5;;None
248;ST0003;BU16800000;408;;None
249;GM000C;BU16800009;;Aa en Hunze                             ;None
250;R00003;BU16800009;;Buurt     ;None
251;R00004;BU16800009;;BU16800009;None
252;M000125;BU16800009;;1;None
253;T001036;BU16800009;155;;None
254;3000;BU16800009;80;;None
255;4000;BU16800009;80;;None
256;10680;BU16800009;10;;None
257;53050;BU16800009;15;;None
258;53310;BU16800009;10;;None
