Id;Measure;WijkenEnBuurten;Value;StringValue;ValueAttribute
13748;M000114;BU03610104;2,1;;None
13749;M000100;BU03610104;9352;;None
13750;M000297;BU03610104;883;;None
13751;M001642;BU03610104;349;;None
13752;ZW10290;BU03610104;45;;None
13753;ZW10340;BU03610104;55;;None
13754;A028725;BU03610104;86;;None
13755;A028726;BU03610104;14;;None
13756;1014800_1;BU03610104;56;;None
13757;1014850_2;BU03610104;44;;None
13758;A047047;BU03610104;17;;None
13759;A047048;BU03610104;27;;None
13760;A047051;BU03610104;0;;None
13761;ZW25808;BU03610104;84;;None
13762;ZW25807;BU03610104;16;;None
13763;M000200_2;BU03610104;300;;None
13764;301000;BU03610104;0;;None
13765;300003;BU03610104;15;;None
13766;300005;BU03610104;25;;None
13767;383105;BU03610104;15;;None
13768;300009;BU03610104;45;;None
13769;300010;BU03610104;85;;None
13770;300012;BU03610104;90;;None
13771;300014;BU03610104;25;;None
13772;A018943_2;BU03610104;605;;None
13773;A019276;BU03610104;470;;None
13774;D001045;BU03610104;135;;None
13775;M000368;BU03610104;0,9;;None
13776;A018943_4;BU03610104;3489;;None
13777;A018944;BU03610104;45;;None
13778;T001455_2;BU03610104;18;;None
13779;A047044;BU03610104;17;;None
13780;A047040;BU03610104;1;;None
13781;PC000C;BU03610104;;      1814;None
13782;M000217;BU03610104;1;;None
13783;ST0001;BU03610104;1;;None
13784;ST0003;BU03610104;4159;;None
13785;GM000C;BU03610105;;Alkmaar                                 ;None
13786;R00003;BU03610105;;Buurt     ;None
13787;R00004;BU03610105;;BU03610105;None
13788;M000125;BU03610105;;1;None
13789;T001036;BU03610105;1570;;None
13790;3000;BU03610105;775;;None
13791;4000;BU03610105;790;;None
13792;10680;BU03610105;260;;None
13793;53050;BU03610105;190;;None
13794;53310;BU03610105;305;;None
13795;53715;BU03610105;450;;None
13796;80200;BU03610105;360;;None
13797;1010;BU03610105;810;;None
13798;1020;BU03610105;575;;None
13799;1080;BU03610105;110;;None
13800;1050;BU03610105;75;;None
13801;2012655;BU03610105;160;;None
13802;2012657_2;BU03610105;60;;None
13803;H008673;BU03610105;5;;None
13804;H007119;BU03610105;10;;None
13805;H008751;BU03610105;10;;None
13806;H008766;BU03610105;0;;None
13807;A008187;BU03610105;35;;None
13808;1050010_2;BU03610105;720;;None
13809;1050015;BU03610105;270;;None
13810;1016040;BU03610105;210;;None
13811;1016030;BU03610105;240;;None
13812;M000114;BU03610105;2,2;;None
13813;M000100;BU03610105;2663;;None
13814;M000297;BU03610105;703;;None
13815;M001642;BU03610105;442;;None
13816;ZW10290;BU03610105;68;;None
13817;ZW10340;BU03610105;32;;None
13818;A028725;BU03610105;95;;None
13819;A028726;BU03610105;5;;None
13820;1014800_1;BU03610105;80;;None
13821;1014850_2;BU03610105;20;;None
13822;A047047;BU03610105;6;;None
13823;A047048;BU03610105;15;;None
13824;A047051;BU03610105;0;;None
13825;ZW25808;BU03610105;93;;None
13826;ZW25807;BU03610105;7;;None
13827;M000200_2;BU03610105;295;;None
13828;301000;BU03610105;0;;None
13829;300003;BU03610105;25;;None
13830;300005;BU03610105;35;;None
13831;383105;BU03610105;10;;None
13832;300009;BU03610105;35;;None
13833;300010;BU03610105;80;;None
13834;300012;BU03610105;85;;None
13835;300014;BU03610105;20;;None
13836;A018943_2;BU03610105;665;;None
13837;A019276;BU03610105;530;;None
13838;D001045;BU03610105;135;;None
13839;M000368;BU03610105;0,9;;None
13840;A018943_4;BU03610105;1133;;None
13841;A018944;BU03610105;60;;None
13842;T001455_2;BU03610105;60;;None
13843;A047044;BU03610105;59;;None
13844;A047040;BU03610105;2;;None
13845;PC000C;BU03610105;;      1815;None
13846;M000217;BU03610105;1;;None
13847;ST0001;BU03610105;1;;None
13848;ST0003;BU03610105;4027;;None
13849;GM000C;BU03610106;;Alkmaar                                 ;None
13850;R00003;BU03610106;;Buurt     ;None
13851;R00004;BU03610106;;BU03610106;None
13852;M000125;BU03610106;;1;None
13853;T001036;BU03610106;1260;;None
13854;3000;BU03610106;605;;None
13855;4000;BU03610106;655;;None
13856;10680;BU03610106;150;;None
13857;53050;BU03610106;105;;None
13858;53310;BU03610106;240;;None
13859;53715;BU03610106;325;;None
13860;80200;BU03610106;435;;None
13861;1010;BU03610106;500;;None
13862;1020;BU03610106;590;;None
13863;1080;BU03610106;85;;None
13864;1050;BU03610106;85;;None
13865;2012655;BU03610106;105;;None
13866;2012657_2;BU03610106;35;;None
13867;H008673;BU03610106;0;;None
13868;H007119;BU03610106;0;;None
13869;H008751;BU03610106;15;;None
13870;H008766;BU03610106;0;;None
13871;A008187;BU03610106;15;;None
13872;1050010_2;BU03610106;610;;None
13873;1050015;BU03610106;195;;None
13874;1016040;BU03610106;255;;None
13875;1016030;BU03610106;160;;None
13876;M000114;BU03610106;2,1;;None
13877;M000100;BU03610106;2599;;None
13878;M000297;BU03610106;612;;None
13879;M001642;BU03610106;477;;None
13880;ZW10290;BU03610106;70;;None
13881;ZW10340;BU03610106;30;;None
13882;A028725;BU03610106;98;;None
13883;A028726;BU03610106;2;;None
13884;1014800_1;BU03610106;90;;None
13885;1014850_2;BU03610106;10;;None
13886;A047047;BU03610106;1;;None
13887;A047048;BU03610106;10;;None
13888;A047051;BU03610106;0;;None
13889;ZW25808;BU03610106;75;;None
13890;ZW25807;BU03610106;25;;None
13891;M000200_2;BU03610106;210;;None
13892;301000;BU03610106;0;;None
13893;300003;BU03610106;20;;None
13894;300005;BU03610106;25;;None
13895;383105;BU03610106;10;;None
13896;300009;BU03610106;30;;None
13897;300010;BU03610106;60;;None
13898;300012;BU03610106;30;;None
13899;300014;BU03610106;30;;None
13900;A018943_2;BU03610106;630;;None
13901;A019276;BU03610106;510;;None
13902;D001045;BU03610106;120;;None
13903;M000368;BU03610106;1;;None
13904;A018943_4;BU03610106;1303;;None
13905;A018944;BU03610106;50;;None
13906;T001455_2;BU03610106;48;;None
13907;A047044;BU03610106;48;;None
13908;A047040;BU03610106;0;;None
13909;PC000C;BU03610106;;      1815;None
13910;M000217;BU03610106;1;;None
13911;ST0001;BU03610106;2;;None
13912;ST0003;BU03610106;2089;;None
13913;GM000C;BU03610107;;Alkmaar                                 ;None
13914;R00003;BU03610107;;Buurt     ;None
13915;R00004;BU03610107;;BU03610107;None
13916;M000125;BU03610107;;1;None
13917;T001036;BU03610107;560;;None
13918;3000;BU03610107;260;;None
13919;4000;BU03610107;295;;None
13920;10680;BU03610107;90;;None
13921;53050;BU03610107;50;;None
13922;53310;BU03610107;100;;None
13923;53715;BU03610107;150;;None
13924;80200;BU03610107;165;;None
13925;1010;BU03610107;235;;None
13926;1020;BU03610107;240;;None
13927;1080;BU03610107;40;;None
13928;1050;BU03610107;35;;None
13929;2012655;BU03610107;45;;None
13930;2012657_2;BU03610107;10;;None
13931;H008673;BU03610107;0;;None
13932;H007119;BU03610107;5;;None
13933;H008751;BU03610107;0;;None
13934;H008766;BU03610107;0;;None
13935;A008187;BU03610107;5;;None
13936;1050010_2;BU03610107;260;;None
13937;1050015;BU03610107;95;;None
13938;1016040;BU03610107;85;;None
13939;1016030;BU03610107;75;;None
13940;M000114;BU03610107;2,2;;None
13941;M000100;BU03610107;2927;;None
13942;M000297;BU03610107;257;;None
13943;M001642;BU03610107;414;;None
13944;ZW10290;BU03610107;61;;None
13945;ZW10340;BU03610107;39;;None
13946;A028725;BU03610107;98;;None
13947;A028726;BU03610107;2;;None
13948;1014800_1;BU03610107;92;;None
13949;1014850_2;BU03610107;8;;None
13950;A047047;BU03610107;0;;None
13951;A047048;BU03610107;8;;None
13952;A047051;BU03610107;0;;None
13953;ZW25808;BU03610107;72;;None
13954;ZW25807;BU03610107;28;;None
13955;M000200_2;BU03610107;60;;None
13956;301000;BU03610107;0;;None
13957;300003;BU03610107;5;;None
13958;300005;BU03610107;0;;None
13959;383105;BU03610107;5;;None
13960;300009;BU03610107;0;;None
13961;300010;BU03610107;20;;None
13962;300012;BU03610107;15;;None
13963;300014;BU03610107;15;;None
13964;A018943_2;BU03610107;240;;None
13965;A019276;BU03610107;200;;None
13966;D001045;BU03610107;40;;None
13967;M000368;BU03610107;0,9;;None
13968;A018943_4;BU03610107;1272;;None
13969;A018944;BU03610107;10;;None
13970;T001455_2;BU03610107;19;;None
13971;A047044;BU03610107;19;;None
13972;A047040;BU03610107;0;;None
13973;PC000C;BU03610107;;      1815;None
13974;M000217;BU03610107;1;;None
13975;ST0001;BU03610107;1;;None
13976;ST0003;BU03610107;2895;;None
13977;GM000C;BU03610108;;Alkmaar                                 ;None
13978;R00003;BU03610108;;Buurt     ;None
13979;R00004;BU03610108;;BU03610108;None
13980;M000125;BU03610108;;1;None
13981;T001036;BU03610108;1580;;None
13982;3000;BU03610108;775;;None
13983;4000;BU03610108;800;;None
13984;10680;BU03610108;190;;None
13985;53050;BU03610108;175;;None
13986;53310;BU03610108;490;;None
13987;53715;BU03610108;450;;None
13988;80200;BU03610108;275;;None
13989;1010;BU03610108;910;;None
13990;1020;BU03610108;445;;None
13991;1080;BU03610108;170;;None
13992;1050;BU03610108;55;;None
13993;2012655;BU03610108;170;;None
13994;2012657_2;BU03610108;110;;None
13995;H008673;BU03610108;10;;None
13996;H007119;BU03610108;10;;None
13997;H008751;BU03610108;15;;None
13998;H008766;BU03610108;15;;None
13999;A008187;BU03610108;60;;None
14000;1050010_2;BU03610108;865;;None
14001;1050015;BU03610108;420;;None
14002;1016040;BU03610108;230;;None
14003;1016030;BU03610108;215;;None
14004;M000114;BU03610108;1,8;;None
14005;M000100;BU03610108;9538;;None
14006;M000297;BU03610108;892;;None
14007;M001642;BU03610108;229;;None
14008;ZW10290;BU03610108;65;;None
14009;ZW10340;BU03610108;35;;None
14010;A028725;BU03610108;90;;None
14011;A028726;BU03610108;10;;None
14012;1014800_1;BU03610108;51;;None
14013;1014850_2;BU03610108;49;;None
14014;A047047;BU03610108;29;;None
14015;A047048;BU03610108;20;;None
14016;A047051;BU03610108;0;;None
14017;ZW25808;BU03610108;94;;None
14018;ZW25807;BU03610108;6;;None
14019;M000200_2;BU03610108;225;;None
14020;301000;BU03610108;0;;None
14021;300003;BU03610108;45;;None
14022;300005;BU03610108;30;;None
14023;383105;BU03610108;10;;None
14024;300009;BU03610108;15;;None
14025;300010;BU03610108;45;;None
14026;300012;BU03610108;40;;None
14027;300014;BU03610108;40;;None
14028;A018943_2;BU03610108;655;;None
14029;A019276;BU03610108;565;;None
14030;D001045;BU03610108;95;;None
14031;M000368;BU03610108;0,8;;None
14032;A018943_4;BU03610108;3969;;None
14033;A018944;BU03610108;55;;None
14034;T001455_2;BU03610108;17;;None
14035;A047044;BU03610108;17;;None
14036;A047040;BU03610108;0;;None
14037;PC000C;BU03610108;;      1815;None
14038;M000217;BU03610108;1;;None
14039;ST0001;BU03610108;1;;None
14040;ST0003;BU03610108;3434;;None
14041;GM000C;BU03610109;;Alkmaar                                 ;None
14042;R00003;BU03610109;;Buurt     ;None
14043;R00004;BU03610109;;BU03610109;None
14044;M000125;BU03610109;;1;None
14045;T001036;BU03610109;1485;;None
14046;3000;BU03610109;750;;None
14047;4000;BU03610109;730;;None
14048;10680;BU03610109;290;;None
14049;53050;BU03610109;160;;None
14050;53310;BU03610109;330;;None
14051;53715;BU03610109;410;;None
14052;80200;BU03610109;300;;None
14053;1010;BU03610109;770;;None
14054;1020;BU03610109;600;;None
14055;1080;BU03610109;60;;None
14056;1050;BU03610109;55;;None
14057;2012655;BU03610109;125;;None
14058;2012657_2;BU03610109;45;;None
14059;H008673;BU03610109;5;;None
14060;H007119;BU03610109;5;;None
14061;H008751;BU03610109;5;;None
14062;H008766;BU03610109;5;;None
14063;A008187;BU03610109;30;;None
14064;1050010_2;BU03610109;585;;None
14065;1050015;BU03610109;130;;None
14066;1016040;BU03610109;190;;None
14067;1016030;BU03610109;265;;None
14068;M000114;BU03610109;2,5;;None
14069;M000100;BU03610109;8409;;None
14070;M000297;BU03610109;581;;None
14071;M001642;BU03610109;410;;None
14072;ZW10290;BU03610109;86;;None
14073;ZW10340;BU03610109;14;;None
14074;A028725;BU03610109;98;;None
14075;A028726;BU03610109;2;;None
14076;1014800_1;BU03610109;95;;None
14077;1014850_2;BU03610109;5;;None
14078;A047047;BU03610109;0;;None
14079;A047048;BU03610109;5;;None
14080;A047051;BU03610109;0;;None
14081;ZW25808;BU03610109;76;;None
14082;ZW25807;BU03610109;24;;None
14083;M000200_2;BU03610109;215;;None
14084;301000;BU03610109;0;;None
14085;300003;BU03610109;20;;None
14086;300005;BU03610109;15;;None
14087;383105;BU03610109;15;;None
14088;300009;BU03610109;35;;None
14089;300010;BU03610109;55;;None
14090;300012;BU03610109;50;;None
14091;300014;BU03610109;25;;None
14092;A018943_2;BU03610109;635;;None
14093;A019276;BU03610109;500;;None
14094;D001045;BU03610109;135;;None
14095;M000368;BU03610109;1,1;;None
14096;A018943_4;BU03610109;3598;;None
14097;A018944;BU03610109;25;;None
14098;T001455_2;BU03610109;18;;None
14099;A047044;BU03610109;18;;None
14100;A047040;BU03610109;0;;None
14101;PC000C;BU03610109;;      1814;None
14102;M000217;BU03610109;1;;None
14103;ST0001;BU03610109;2;;None
14104;ST0003;BU03610109;2485;;None
14105;GM000C;WK036102;;Alkmaar                                 ;None
14106;R00003;WK036102;;Wijk      ;None
14107;R00004;WK036102;;WK036102  ;None
14108;M000125;WK036102;;1;None
14109;T001036;WK036102;13665;;None
14110;3000;WK036102;6660;;None
14111;4000;WK036102;7005;;None
14112;10680;WK036102;2195;;None
14113;53050;WK036102;1440;;None
14114;53310;WK036102;3200;;None
14115;53715;WK036102;3840;;None
14116;80200;WK036102;2985;;None
14117;1010;WK036102;6625;;None
14118;1020;WK036102;5120;;None
14119;1080;WK036102;1215;;None
14120;1050;WK036102;700;;None
14121;2012655;WK036102;1205;;None
14122;2012657_2;WK036102;1650;;None
14123;H008673;WK036102;190;;None
14124;H007119;WK036102;145;;None
14125;H008751;WK036102;165;;None
14126;H008766;WK036102;265;;None
14127;A008187;WK036102;890;;None
14128;1050010_2;WK036102;6180;;None
14129;1050015;WK036102;2205;;None
14130;1016040;WK036102;1845;;None
14131;1016030;WK036102;2135;;None
14132;M000114;WK036102;2,2;;None
14133;M000100;WK036102;2338;;None
14134;M000297;WK036102;6201;;None
14135;M001642;WK036102;319;;None
14136;ZW10290;WK036102;66;;None
14137;ZW10340;WK036102;34;;None
14138;A028725;WK036102;98;;None
14139;A028726;WK036102;2;;None
14140;1014800_1;WK036102;62;;None
14141;1014850_2;WK036102;38;;None
14142;A047047;WK036102;30;;None
14143;A047048;WK036102;8;;None
14144;A047051;WK036102;0;;None
14145;ZW25808;WK036102;81;;None
14146;ZW25807;WK036102;19;;None
14147;M000200_2;WK036102;2310;;None
14148;301000;WK036102;5;;None
14149;300003;WK036102;390;;None
14150;300005;WK036102;405;;None
14151;383105;WK036102;190;;None
14152;300009;WK036102;215;;None
14153;300010;WK036102;515;;None
14154;300012;WK036102;360;;None
14155;300014;WK036102;230;;None
14156;A018943_2;WK036102;7455;;None
14157;A019276;WK036102;5695;;None
14158;D001045;WK036102;1760;;None
14159;M000368;WK036102;1,2;;None
14160;A018943_4;WK036102;1275;;None
14161;A018944;WK036102;580;;None
14162;T001455_2;WK036102;635;;None
14163;A047044;WK036102;584;;None
14164;A047040;WK036102;51;;None
14165;ST0001;WK036102;2;;None
14166;ST0003;WK036102;2135;;None
14167;GM000C;BU03610200;;Alkmaar                                 ;None
14168;R00003;BU03610200;;Buurt     ;None
14169;R00004;BU03610200;;BU03610200;None
14170;M000125;BU03610200;;1;None
14171;T001036;BU03610200;2200;;None
14172;3000;BU03610200;1100;;None
14173;4000;BU03610200;1100;;None
14174;10680;BU03610200;330;;None
14175;53050;BU03610200;220;;None
14176;53310;BU03610200;485;;None
14177;53715;BU03610200;700;;None
14178;80200;BU03610200;470;;None
14179;1010;BU03610200;1035;;None
14180;1020;BU03610200;905;;None
14181;1080;BU03610200;175;;None
14182;1050;BU03610200;85;;None
14183;2012655;BU03610200;155;;None
14184;2012657_2;BU03610200;135;;None
14185;H008673;BU03610200;0;;None
14186;H007119;BU03610200;10;;None
14187;H008751;BU03610200;15;;None
14188;H008766;BU03610200;45;;None
14189;A008187;BU03610200;60;;None
14190;1050010_2;BU03610200;990;;None
14191;1050015;BU03610200;300;;None
14192;1016040;BU03610200;340;;None
14193;1016030;BU03610200;350;;None
14194;M000114;BU03610200;2,2;;None
14195;M000100;BU03610200;4859;;None
14196;M000297;BU03610200;1011;;None
14197;M001642;BU03610200;352;;None
14198;ZW10290;BU03610200;85;;None
14199;ZW10340;BU03610200;15;;None
14200;A028725;BU03610200;97;;None
14201;A028726;BU03610200;3;;None
14202;1014800_1;BU03610200;86;;None
14203;1014850_2;BU03610200;14;;None
14204;A047047;BU03610200;9;;None
14205;A047048;BU03610200;5;;None
14206;A047051;BU03610200;0;;None
14207;ZW25808;BU03610200;83;;None
14208;ZW25807;BU03610200;17;;None
14209;M000200_2;BU03610200;265;;None
14210;301000;BU03610200;0;;None
14211;300003;BU03610200;30;;None
14212;300005;BU03610200;25;;None
14213;383105;BU03610200;20;;None
14214;300009;BU03610200;25;;None
14215;300010;BU03610200;85;;None
14216;300012;BU03610200;45;;None
14217;300014;BU03610200;25;;None
14218;A018943_2;BU03610200;1425;;None
14219;A019276;BU03610200;1085;;None
14220;D001045;BU03610200;335;;None
14221;M000368;BU03610200;1,4;;None
14222;A018943_4;BU03610200;3142;;None
14223;A018944;BU03610200;100;;None
14224;T001455_2;BU03610200;49;;None
14225;A047044;BU03610200;45;;None
14226;A047040;BU03610200;4;;None
14227;PC000C;BU03610200;;      1823;None
14228;M000217;BU03610200;1;;None
14229;ST0001;BU03610200;1;;None
14230;ST0003;BU03610200;3409;;None
14231;GM000C;BU03610201;;Alkmaar                                 ;None
14232;R00003;BU03610201;;Buurt     ;None
14233;R00004;BU03610201;;BU03610201;None
14234;M000125;BU03610201;;1;None
14235;T001036;BU03610201;2275;;None
14236;3000;BU03610201;1080;;None
14237;4000;BU03610201;1195;;None
14238;10680;BU03610201;315;;None
14239;53050;BU03610201;245;;None
14240;53310;BU03610201;485;;None
14241;53715;BU03610201;610;;None
14242;80200;BU03610201;620;;None
14243;1010;BU03610201;1015;;None
14244;1020;BU03610201;895;;None
14245;1080;BU03610201;155;;None
14246;1050;BU03610201;205;;None
14247;2012655;BU03610201;185;;None
14248;2012657_2;BU03610201;200;;None
14249;H008673;BU03610201;35;;None
14250;H007119;BU03610201;25;;None
14251;H008751;BU03610201;20;;None
14252;H008766;BU03610201;20;;None
14253;A008187;BU03610201;90;;None
14254;1050010_2;BU03610201;1035;;None
14255;1050015;BU03610201;410;;None
14256;1016040;BU03610201;310;;None
14257;1016030;BU03610201;310;;None
14258;M000114;BU03610201;2,1;;None
14259;M000100;BU03610201;1417;;None
14260;M000297;BU03610201;1080;;None
14261;M001642;BU03610201;328;;None
14262;ZW10290;BU03610201;68;;None
14263;ZW10340;BU03610201;32;;None
14264;A028725;BU03610201;99;;None
14265;A028726;BU03610201;1;;None
14266;1014800_1;BU03610201;58;;None
14267;1014850_2;BU03610201;42;;None
14268;A047047;BU03610201;25;;None
14269;A047048;BU03610201;18;;None
14270;A047051;BU03610201;0;;None
14271;ZW25808;BU03610201;96;;None
14272;ZW25807;BU03610201;4;;None
14273;M000200_2;BU03610201;260;;None
14274;301000;BU03610201;5;;None
14275;300003;BU03610201;35;;None
14276;300005;BU03610201;25;;None
14277;383105;BU03610201;20;;None
14278;300009;BU03610201;30;;None
14279;300010;BU03610201;55;;None
14280;300012;BU03610201;55;;None
14281;300014;BU03610201;30;;None
14282;A018943_2;BU03610201;1145;;None
14283;A019276;BU03610201;855;;None
14284;D001045;BU03610201;290;;None
14285;M000368;BU03610201;1,1;;None
14286;A018943_4;BU03610201;712;;None
14287;A018944;BU03610201;75;;None
14288;T001455_2;BU03610201;183;;None
14289;A047044;BU03610201;161;;None
14290;A047040;BU03610201;23;;None
14291;PC000C;BU03610201;;      1829;None
14292;M000217;BU03610201;1;;None
14293;ST0001;BU03610201;3;;None
14294;ST0003;BU03610201;1090;;None
14295;GM000C;BU03610202;;Alkmaar                                 ;None
14296;R00003;BU03610202;;Buurt     ;None
14297;R00004;BU03610202;;BU03610202;None
14298;M000125;BU03610202;;1;None
14299;T001036;BU03610202;1995;;None
14300;3000;BU03610202;945;;None
14301;4000;BU03610202;1050;;None
14302;10680;BU03610202;300;;None
14303;53050;BU03610202;200;;None
14304;53310;BU03610202;350;;None
14305;53715;BU03610202;490;;None
14306;80200;BU03610202;645;;None
14307;1010;BU03610202;820;;None
14308;1020;BU03610202;900;;None
14309;1080;BU03610202;135;;None
14310;1050;BU03610202;140;;None
14311;2012655;BU03610202;165;;None
14312;2012657_2;BU03610202;90;;None
14313;H008673;BU03610202;5;;None
14314;H007119;BU03610202;15;;None
14315;H008751;BU03610202;25;;None
14316;H008766;BU03610202;5;;None
14317;A008187;BU03610202;40;;None
14318;1050010_2;BU03610202;835;;None
14319;1050015;BU03610202;240;;None
14320;1016040;BU03610202;305;;None
14321;1016030;BU03610202;290;;None
14322;M000114;BU03610202;2,3;;None
14323;M000100;BU03610202;4334;;None
14324;M000297;BU03610202;911;;None
14325;M001642;BU03610202;363;;None
14326;ZW10290;BU03610202;78;;None
14327;ZW10340;BU03610202;22;;None
14328;A028725;BU03610202;97;;None
14329;A028726;BU03610202;3;;None
14330;1014800_1;BU03610202;75;;None
14331;1014850_2;BU03610202;25;;None
14332;A047047;BU03610202;16;;None
14333;A047048;BU03610202;10;;None
14334;A047051;BU03610202;0;;None
14335;ZW25808;BU03610202;91;;None
14336;ZW25807;BU03610202;9;;None
14337;M000200_2;BU03610202;230;;None
14338;301000;BU03610202;0;;None
14339;300003;BU03610202;40;;None
14340;300005;BU03610202;30;;None
14341;383105;BU03610202;15;;None
14342;300009;BU03610202;20;;None
14343;300010;BU03610202;55;;None
14344;300012;BU03610202;45;;None
14345;300014;BU03610202;25;;None
14346;A018943_2;BU03610202;890;;None
14347;A019276;BU03610202;740;;None
14348;D001045;BU03610202;145;;None
14349;M000368;BU03610202;1,1;;None
14350;A018943_4;BU03610202;1931;;None
14351;A018944;BU03610202;95;;None
14352;T001455_2;BU03610202;46;;None
14353;A047044;BU03610202;46;;None
14354;A047040;BU03610202;0;;None
14355;PC000C;BU03610202;;      1829;None
14356;M000217;BU03610202;1;;None
14357;ST0001;BU03610202;3;;None
14358;ST0003;BU03610202;1475;;None
14359;GM000C;BU03610203;;Alkmaar                                 ;None
14360;R00003;BU03610203;;Buurt     ;None
14361;R00004;BU03610203;;BU03610203;None
14362;M000125;BU03610203;;1;None
14363;T001036;BU03610203;1800;;None
14364;3000;BU03610203;910;;None
14365;4000;BU03610203;895;;None
14366;10680;BU03610203;265;;None
14367;53050;BU03610203;155;;None
14368;53310;BU03610203;525;;None
14369;53715;BU03610203;500;;None
14370;80200;BU03610203;355;;None
14371;1010;BU03610203;960;;None
14372;1020;BU03610203;580;;None
14373;1080;BU03610203;185;;None
14374;1050;BU03610203;75;;None
14375;2012655;BU03610203;195;;None
14376;2012657_2;BU03610203;135;;None
14377;H008673;BU03610203;15;;None
14378;H007119;BU03610203;20;;None
14379;H008751;BU03610203;25;;None
14380;H008766;BU03610203;15;;None
14381;A008187;BU03610203;60;;None
14382;1050010_2;BU03610203;920;;None
14383;1050015;BU03610203;410;;None
14384;1016040;BU03610203;265;;None
14385;1016030;BU03610203;245;;None
14386;M000114;BU03610203;1,9;;None
14387;M000100;BU03610203;1841;;None
14388;M000297;BU03610203;853;;None
14389;M001642;BU03610203;284;;None
14390;ZW10290;BU03610203;57;;None
14391;ZW10340;BU03610203;43;;None
14392;A028725;BU03610203;97;;None
14393;A028726;BU03610203;3;;None
14394;1014800_1;BU03610203;57;;None
14395;1014850_2;BU03610203;42;;None
14396;A047047;BU03610203;32;;None
14397;A047048;BU03610203;10;;None
14398;A047051;BU03610203;0;;None
14399;ZW25808;BU03610203;53;;None
14400;ZW25807;BU03610203;47;;None
14401;M000200_2;BU03610203;555;;None
14402;301000;BU03610203;0;;None
14403;300003;BU03610203;120;;None
14404;300005;BU03610203;105;;None
14405;383105;BU03610203;60;;None
14406;300009;BU03610203;45;;None
14407;300010;BU03610203;115;;None
14408;300012;BU03610203;60;;None
14409;300014;BU03610203;55;;None
14410;A018943_2;BU03610203;880;;None
14411;A019276;BU03610203;710;;None
14412;D001045;BU03610203;170;;None
14413;M000368;BU03610203;1;;None
14414;A018943_4;BU03610203;898;;None
14415;A018944;BU03610203;110;;None
14416;T001455_2;BU03610203;105;;None
14417;A047044;BU03610203;98;;None
14418;A047040;BU03610203;8;;None
14419;PC000C;BU03610203;;      1821;None
14420;M000217;BU03610203;1;;None
14421;ST0001;BU03610203;1;;None
14422;ST0003;BU03610203;2812;;None
14423;GM000C;BU03610204;;Alkmaar                                 ;None
14424;R00003;BU03610204;;Buurt     ;None
14425;R00004;BU03610204;;BU03610204;None
14426;M000125;BU03610204;;1;None
14427;T001036;BU03610204;2150;;None
14428;3000;BU03610204;1000;;None
14429;4000;BU03610204;1150;;None
14430;10680;BU03610204;340;;None
14431;53050;BU03610204;285;;None
14432;53310;BU03610204;550;;None
14433;53715;BU03610204;640;;None
14434;80200;BU03610204;330;;None
14435;1010;BU03610204;1180;;None
14436;1020;BU03610204;560;;None
14437;1080;BU03610204;330;;None
14438;1050;BU03610204;80;;None
14439;2012655;BU03610204;245;;None
14440;2012657_2;BU03610204;800;;None
14441;H008673;BU03610204;105;;None
14442;H007119;BU03610204;40;;None
14443;H008751;BU03610204;50;;None
14444;H008766;BU03610204;115;;None
14445;A008187;BU03610204;490;;None
14446;1050010_2;BU03610204;1060;;None
14447;1050015;BU03610204;475;;None
14448;1016040;BU03610204;195;;None
14449;1016030;BU03610204;385;;None
14450;M000114;BU03610204;2;;None
14451;M000100;BU03610204;8150;;None
14452;M000297;BU03610204;1030;;None
14453;M001642;BU03610204;203;;None
14454;ZW10290;BU03610204;12;;None
14455;ZW10340;BU03610204;88;;None
14456;A028725;BU03610204;99;;None
14457;A028726;BU03610204;1;;None
14458;1014800_1;BU03610204;17;;None
14459;1014850_2;BU03610204;83;;None
14460;A047047;BU03610204;81;;None
14461;A047048;BU03610204;2;;None
14462;A047051;BU03610204;0;;None
14463;ZW25808;BU03610204;100;;None
14464;ZW25807;BU03610204;0;;None
14465;M000200_2;BU03610204;135;;None
14466;301000;BU03610204;0;;None
14467;300003;BU03610204;30;;None
14468;300005;BU03610204;15;;None
14469;383105;BU03610204;10;;None
14470;300009;BU03610204;5;;None
14471;300010;BU03610204;35;;None
14472;300012;BU03610204;20;;None
14473;300014;BU03610204;20;;None
14474;A018943_2;BU03610204;715;;None
14475;A019276;BU03610204;620;;None
14476;D001045;BU03610204;95;;None
14477;M000368;BU03610204;0,7;;None
14478;A018943_4;BU03610204;2717;;None
14479;A018944;BU03610204;45;;None
14480;T001455_2;BU03610204;29;;None
14481;A047044;BU03610204;26;;None
14482;A047040;BU03610204;2;;None
14483;PC000C;BU03610204;;      1823;None
14484;M000217;BU03610204;1;;None
14485;ST0001;BU03610204;1;;None
14486;ST0003;BU03610204;2819;;None
14487;GM000C;BU03610205;;Alkmaar                                 ;None
14488;R00003;BU03610205;;Buurt     ;None
14489;R00004;BU03610205;;BU03610205;None
14490;M000125;BU03610205;;1;None
14491;T001036;BU03610205;555;;None
14492;3000;BU03610205;275;;None
14493;4000;BU03610205;280;;None
14494;10680;BU03610205;95;;None
14495;53050;BU03610205;50;;None
14496;53310;BU03610205;140;;None
14497;53715;BU03610205;125;;None
14498;80200;BU03610205;135;;None
14499;1010;BU03610205;250;;None
14500;1020;BU03610205;250;;None
