"","charger_longitude","charger_latitude","highway_dist","highway"
"1",3.5060095,51.4923017,1001,0
"2",3.5202118,51.4748088,1001,0
"3",3.522221,51.473461,1001,0
"4",3.5224496,51.470047,1001,0
"5",3.55138,51.4795,890.183764260298,1
"6",3.5559576,51.4635289,758.293807581985,1
"7",3.555983,51.520892,1001,0
"8",3.55614,51.4764365,728.039377081019,1
"9",3.5646005,51.4463113,1001,0
"10",3.5669491,51.4531276,837.575361623645,1
"11",3.57322,51.440683,1001,0
"12",3.5824898,51.4418755,1001,0
"13",3.5907102,51.5490936,746.735165327001,1
"14",3.5983805,51.4839741,328.153804982554,1
"15",3.601188,51.5549279,53.5448890857192,1
"16",3.607906,51.4959527,224.45865288963,1
"17",3.6183342,51.496598,428.424757750726,1
"18",3.6232022,51.497112,657.556031710436,1
"19",3.625895,51.480105,173.739008371721,1
"20",3.6776495,51.4966464,31.4409836256556,1
"21",3.8233542,51.3373986,1001,0
"22",3.831692,51.336743,1001,0
"23",3.8407527,51.3348951,1001,0
"24",3.841883,51.306623,836.100722940683,1
"25",3.847737,51.33457,1001,0
"26",3.852338,51.313713,990.502466098831,1
"27",3.8550356,51.3058848,242.766451394782,1
"28",3.866485,51.4919532,173.617766100517,1
"29",3.875382,51.506797,115.308098509905,1
"30",3.8823682,51.4996752,422.059139937655,1
"31",3.88927,51.508318,547.574015364393,1
"32",3.8919415,51.4977909,140.933640828246,1
"33",3.895796,51.482619,118.612908569175,1
"34",3.897791,51.4981099,54.4536716804357,1
"35",3.9859167,51.5112598,1001,0
"36",4.0273677,51.4645658,34.754083130148,1
"37",4.03856,51.4451,364.646779192753,1
"38",4.047835,51.4948229,1001,0
"39",4.0492062,51.4912088,1001,0
"40",4.04929,51.2756,600.328897340588,1
"41",4.051902,51.481262,1001,0
"42",4.053975,51.279589,1001,0
"43",4.0561585,51.4879032,1001,0
"44",4.1226047,51.8380876,1001,0
"45",4.1268307,51.8406057,1001,0
"46",4.129708,51.8314666,1001,0
"47",4.1328781,51.8388849,1001,0
"48",4.1473073,51.8324311,1001,0
"49",4.1505613,51.7622552,1001,0
"50",4.1524632,51.7600696,1001,0
"51",4.156758,51.763973,1001,0
"52",4.1577125,51.7506157,119.860352370957,1
"53",4.208363,51.971317,134.965644415373,1
"54",4.2118651,51.9696068,92.0997230047599,1
"55",4.2145282,52.0623852,1001,0
"56",4.2226233,51.973124,64.3493336440831,1
"57",4.2228473,52.067934,1001,0
"58",4.224901,52.060806,1001,0
"59",4.2259527,52.0652867,1001,0
"60",4.2389005,52.0387534,226.223687003626,1
"61",4.2447868,51.9562222,873.295151991651,1
"62",4.265091,52.102791,1001,0
"63",4.267299,51.477953,1001,0
"64",4.2686491,52.1014317,1001,0
"65",4.273516,51.526812,1001,0
"66",4.2792667,51.5224108,1001,0
"67",4.279327,51.5293173,1001,0
"68",4.2796552,51.5161378,440.713654362976,1
"69",4.2835029,51.903975,1001,0
"70",4.28389,51.5082,457.287695339842,1
"71",4.286558,51.5004236,746.911203714553,1
"72",4.290132,51.496737,1001,0
"73",4.2939767,52.0425686,1001,0
"74",4.2949488,51.4826073,689.930475285005,1
"75",4.2951956,51.4950755,1001,0
"76",4.3038639,52.0780377,1001,0
"77",4.3043014,52.0758304,1001,0
"78",4.3060009,52.0747405,1001,0
"79",4.317859,52.03606,902.672742541359,1
"80",4.3214335,51.9991499,350.039976495681,1
"81",4.3236236,52.0021461,706.494593146544,1
"82",4.3270066,51.900661,1001,0
"83",4.327425,52.060319,1001,0
"84",4.3292854,52.1071436,196.72559688351,1
"85",4.3320378,51.9914423,608.421426648817,1
"86",4.3332853,51.4681311,1001,0
"87",4.3361495,52.036832,44.4062836021257,1
"88",4.3391988,51.9997275,591.880319723064,1
"89",4.3491515,52.0482575,196.575536427451,1
"90",4.3492024,51.9792072,797.888375182007,1
"91",4.3497427,52.0482477,180.620702801091,1
"92",4.3500438,51.987261,63.5897599799592,1
"93",4.3546045,51.9874342,9.64081544480174,1
"94",4.3551621,51.9924499,333.368652627592,1
"95",4.3622292,52.0593999,457.785762332119,1
"96",4.362749,52.027067,105.018179484712,1
"97",4.3638631,52.0401742,766.78748829762,1
"98",4.3642518,52.0961378,353.488715883129,1
"99",4.3661157,51.9812038,974.141992564404,1
"100",4.3685638,51.9439036,657.921873791405,1
"101",4.3858104,52.0782056,123.514784324392,1
"102",4.392793,51.9833879,111.973746005774,1
"103",4.3936886,51.982502,120.09762653976,1
"104",4.39837,51.8573,265.917546388858,1
"105",4.3988319,51.9169579,949.877815304137,1
"106",4.4008824,51.8291051,1001,0
"107",4.4026881,51.9156411,988.152293011294,1
"108",4.405905,51.820434,630.630815234587,1
"109",4.4083064,52.1420679,303.521598002379,1
"110",4.4103059,52.2044198,900.011963958329,1
"111",4.4106449,51.9439492,707.233290624872,1
"112",4.418177,51.821116,907.587875801184,1
"113",4.42355,51.94464,21.493949779907,1
"114",4.430709,51.85262,862.817279360304,1
"115",4.433087,52.115305,1001,0
"116",4.437809,52.019775,1001,0
"117",4.4383904,52.1235595,1001,0
"118",4.441336,52.2496579,1001,0
"119",4.4428961,51.9518866,846.054313059692,1
"120",4.446493,52.176933,665.116738522319,1
"121",4.4507646,52.0105338,324.985613023416,1
"122",4.4528011,51.9780382,253.105199082016,1
"123",4.4536146,52.1341621,1001,0
"124",4.4539461,52.1222403,1001,0
"125",4.4541128,51.8686246,108.459651896784,1
"126",4.4549928,51.9552003,402.538386076797,1
"127",4.4598536,51.8625976,24.5134107249785,1
"128",4.4603261,51.8624656,31.2375663871888,1
"129",4.4670591,51.9805962,1001,0
"130",4.4705325,51.9638265,618.71361903824,1
"131",4.4713854,51.9204634,550.9432269811,1
"132",4.472005,52.251943,505.6844917348,1
"133",4.4720216,52.1648112,93.9855818187527,1
"134",4.4725045,51.531863,366.599018963334,1
"135",4.4736713,51.8570066,523.434143964923,1
"136",4.4808993,52.1628059,99.9347014946638,1
"137",4.480962,51.92136,817.437797434522,1
"138",4.481499,52.168437,262.398196152781,1
"139",4.4821379,51.9140421,181.726717908422,1
"140",4.48383,51.9194699,536.228579303426,1
"141",4.4853011,52.0002007,1001,0
"142",4.4853606,51.5351384,126.98537478431,1
"143",4.4872628,51.8930787,339.16240258761,1
"144",4.4908055,52.0503452,352.928650415852,1
"145",4.491498,52.1504018,1001,0
"146",4.4930859,51.54528,532.366378209297,1
"147",4.4934,52.162951,606.369941382996,1
"148",4.4949019,51.9244124,537.765787554056,1
"149",4.495039,52.151536,1001,0
"150",4.496592,52.2227355,1001,0
"151",4.4969973,51.8755833,574.446710326317,1
"152",4.497536,52.226788,1001,0
"153",4.4980621,52.0516107,562.797680340726,1
"154",4.4986991,51.8465033,1001,0
"155",4.499134,51.8896326,43.3262225879116,1
"156",4.50073,52.225,1001,0
"157",4.5033472,52.2132603,127.161297909938,1
"158",4.504546,52.2126189,60.3254358354217,1
"159",4.5065212,51.8449585,467.389962350155,1
"160",4.5155242,51.9174055,143.890914153697,1
"161",4.5252359,52.0696836,1001,0
"162",4.52568,51.91815,346.12089631024,1
"163",4.5292076,51.5488332,210.234826803808,1
"164",4.5303497,51.5477014,220.969476146255,1
"165",4.530801,52.1508647,107.726736565564,1
"166",4.530808,51.89458,36.5366190100922,1
"167",4.5328926,52.3707534,1001,0
"168",4.5332162,51.583077,1001,0
"169",4.533435,51.591294,1001,0
"170",4.5340601,52.3766697,1001,0
"171",4.5342041,51.9652465,1001,0
"172",4.5345945,51.9591846,793.423183503778,1
"173",4.534677,51.877887,1001,0
"174",4.5372489,52.3782901,1001,0
"175",4.5382002,52.0079004,883.353374032615,1
"176",4.538822,52.3938906,1001,0
"177",4.5394439,52.039855,167.89613078724,1
"178",4.5421131,51.8919469,469.789622453191,1
"179",4.5422022,52.0747056,1001,0
"180",4.545472,51.593502,1001,0
"181",4.553898,52.265319,122.4391979765,1
"182",4.5542539,51.9333361,1001,0
"183",4.554378,52.417709,1001,0
"184",4.555974,52.266711,187.558469419225,1
"185",4.5563521,51.8769193,649.725118493696,1
"186",4.557072,52.265985,286.742706318445,1
"187",4.55838,52.2458135,1001,0
"188",4.5599165,51.9248098,394.332334952818,1
"189",4.5637069,52.2719953,71.6737853904079,1
"190",4.5882965,51.9849112,911.99833859218,1
"191",4.5885078,51.9145185,181.017110940451,1
"192",4.589458,52.3163791,14.2014305069332,1
"193",4.5904344,51.9861962,710.912858136732,1
"194",4.590524,51.87814,799.170905410978,1
"195",4.5927393,51.9847055,689.936516600624,1
"196",4.5927609,52.3954612,1001,0
"197",4.5932383,51.9858172,583.418965118757,1
"198",4.5936007,52.4956001,1001,0
"199",4.5979825,51.9870559,248.180062336902,1
"200",4.6008575,51.8629629,526.333620682167,1
"201",4.610088,51.81895,1001,0
"202",4.610697,51.8197789,1001,0
"203",4.6135463,51.8310561,430.35054833189,1
"204",4.6180898,51.8348464,47.7327990373738,1
"205",4.619548,52.335656,1001,0
"206",4.620008,51.836003,81.1739834532243,1
"207",4.627065,52.340807,362.787623583543,1
"208",4.6272072,52.3593845,119.908963719783,1
"209",4.6272186,52.4564285,1001,0
"210",4.6293154,52.376412,529.845172543727,1
"211",4.632123,52.2747391,1001,0
"212",4.63388,51.567718,1001,0
"213",4.6344694,52.3863708,1001,0
"214",4.634636,52.017688,250.929732337661,1
"215",4.6358483,52.4779197,341.668529808791,1
"216",4.6360175,52.0367273,1001,0
"217",4.6409562,52.4329956,440.162059822692,1
"218",4.642086,51.7736329,103.702468743724,1
"219",4.6421568,52.3772592,633.243306823984,1
"220",4.643366,52.3768747,621.815819673445,1
"221",4.6434375,52.3640072,668.104587636109,1
"222",4.6459212,52.3827552,1001,0
"223",4.647569,52.1335614,817.699291631026,1
"224",4.6482402,52.028147,671.498504078269,1
"225",4.6485887,52.3139763,761.537622313664,1
"226",4.649789,52.319643,394.490658959577,1
"227",4.651082,52.120183,1001,0
"228",4.651282,52.528661,1001,0
"229",4.6518457,52.4316763,301.180643167919,1
"230",4.6521956,51.77377,123.941555231852,1
"231",4.6522194,52.4160184,377.08490501952,1
"232",4.652344,52.366516,390.390905740101,1
"233",4.6526786,52.6186469,1001,0
"234",4.6547314,52.0452073,381.717426925174,1
"235",4.6551479,52.0564242,566.576538750297,1
"236",4.6553841,52.4384394,229.00363791764,1
"237",4.6560478,52.3591738,1001,0
"238",4.6562899,52.6202863,1001,0
"239",4.657108,51.813498,758.665984646716,1
"240",4.6571452,52.3229569,133.232016566783,1
"241",4.65735,52.0331,152.655056044305,1
"242",4.65755,52.4757187,41.8691800066079,1
"243",4.6585055,52.4295035,802.850433166247,1
"244",4.6599135,52.4318402,769.624998665928,1
"245",4.6603061,52.4769464,132.133464789567,1
"246",4.6614382,52.0563052,139.114260038016,1
"247",4.6616619,52.3851339,276.321145693165,1
"248",4.6617468,51.8154691,1001,0
"249",4.6619542,52.4302889,946.230922250341,1
"250",4.6629364,52.4300565,900.042952067771,1
"251",4.662954,51.868236,1001,0
"252",4.663634,51.794326,744.186284522245,1
"253",4.663747,52.040338,296.307549094335,1
