name,latitude,longitude,postal_code,city,country
,50.8359447,5.7215594,6227 RC,Maastricht,Nederland
,50.7961406,5.6723586,4690,Ében-Émael,België / Belgique / Belgien
,50.8229080,5.6656389,6213 ND,Maastricht,Nederland
,50.8415784,5.6864772,6211 ME,Maastricht,Nederland
,50.8650383,5.6734562,6219 NW,Maastricht,Nederland
P8,50.8377307,5.7095663,6229 ED,Maastricht,Nederland
,50.7956923,5.7772146,6265 NA,Sint Geertruid,Nederland
P3,50.8386950,5.7131182,6229 GS,Maastricht,Nederland
P4,50.8392248,5.7126062,6229 GS,Maastricht,Nederland
P2,50.8380805,5.7136939,6229 GV,Maastricht,Nederland
P7,50.8374825,5.7109686,6229 ED,Maastricht,Nederland
Vroenhof,50.7775721,5.7021331,6245 BZ,Eijsden,Nederland
Parking Kinderboerderij,50.9036790,5.6570474,3620,Lanaken,België / Belgique / Belgien
,50.9004009,5.6626766,3620,Lanaken,België / Belgique / Belgien
,50.9028816,5.6597453,3620,Lanaken,België / Belgique / Belgien
,50.8890552,5.6584032,3620,Lanaken,België / Belgique / Belgien
,50.8898590,5.6556684,3620,Lanaken,België / Belgique / Belgien
,50.8891787,5.6559957,3620,Lanaken,België / Belgique / Belgien
,50.9276658,5.6674954,3621,Lanaken,België / Belgique / Belgien
,50.8158338,5.7265886,6247 NB,Gronsveld,Nederland
,50.8388992,5.7165846,6229 GW,Maastricht,Nederland
,50.8264363,5.7289708,6228 CA,Maastricht,Nederland
,50.7994885,5.7066464,6245 LC,Eijsden,Nederland
P+R Station,50.8524903,5.7036200,6221 AR,Maastricht,Nederland
,50.8444324,5.6945935,6211 JV,Maastricht,Nederland
,50.8453504,5.6868359,6211 KM,Maastricht,Nederland
,50.8379890,5.7166460,6229 GW,Maastricht,Nederland
,50.8415847,5.7141405,6221,Maastricht,Nederland
,50.8419902,5.7135884,6221,Maastricht,Nederland
,50.8377968,5.7028693,6229 GJ,Maastricht,Nederland
Polfermolen,50.8655052,5.8279429,6301 GV,Valkenburg,Nederland
,50.8005347,5.7275256,6247 EA,Rijckholt,Nederland
,50.8643292,5.8273743,6301 GM,Valkenburg,Nederland
,50.8200257,5.6658014,6213 NG,Maastricht,Nederland
,50.8431149,5.7215832,6227 AG,Maastricht,Nederland
,50.8425625,5.7198799,6227 AL,Maastricht,Nederland
,50.8563167,5.7162713,6224 TW,Maastricht,Nederland
,50.8575421,5.7153246,6224 TV,Maastricht,Nederland
