"","charger_latitude","charger_longitude","origin","highway_dist","highway"
"1",50.8480554,5.6811282,"Chargers",359.565536243233,1
"2",50.85642,5.7179399,"Chargers",314.954909921257,1
"3",50.8877757,5.9996246,"Chargers",275.794115141239,1
"4",50.878654,5.984966,"Chargers",740.2151179409,1
"5",50.8851802,5.9932382,"Chargers",798.961325488107,1
"6",50.8715303,5.9799861,"Chargers",145.909825048297,1
"7",50.99438,5.868882,"Chargers",1001,0
"8",50.991278,5.842392,"Chargers",272.095826022489,1
"9",51.001178,5.8663193,"Chargers",1001,0
"10",50.990619,5.823493,"Chargers",167.55082954898,1
"11",50.96807,5.8273,"Chargers",1001,0
"12",50.97385,5.8632799,"Chargers",810.774867834895,1
"13",51.1975615,6.0002398,"Chargers",404.885899283479,1
"14",51.1997755,5.9888655,"Chargers",184.606365529606,1
"15",51.2011971,5.9884765,"Chargers",342.761733610622,1
"16",51.1965364,5.9934995,"Chargers",273.102028181843,1
"17",51.4276586,5.4399493,"Chargers",805.582380026987,1
"18",51.436212,5.4231139,"Chargers",97.6203634382502,1
"19",52.37273,4.89438,"Chargers",805.996377384896,1
"20",52.3751201,4.8917448,"Chargers",744.975114797409,1
"21",52.3693513,4.8950641,"Chargers",590.31154704279,1
"22",51.9194699,4.48383,"Chargers",536.228579303426,1
"23",51.9140421,4.4821379,"Chargers",181.726717908422,1
"24",51.9244124,4.4949019,"Chargers",537.765787552711,1
"25",51.9204634,4.4713854,"Chargers",550.9432269811,1
"26",51.92136,4.480962,"Chargers",817.437797434522,1
"27",52.0780377,4.3038639,"Chargers",1001,0
"28",52.0747405,4.3060009,"Chargers",1001,0
"29",52.0758304,4.3043014,"Chargers",1001,0
"30",52.0891517,5.107764,"Chargers",882.603228442349,1
"31",52.0818569,5.1018375,"Chargers",83.3713770095441,1
"32",52.0883885,5.1308265,"Chargers",1001,0
"33",52.0866107,5.0981238,"Chargers",269.189289162423,1
"34",51.5442958,5.1100643,"Chargers",106.750309169719,1
"35",51.5527813,5.0978519,"Chargers",918.907016510574,1
"36",51.5510999,5.0951003,"Chargers",1001,0
"37",53.2112218,6.5620417,"Chargers",854.889253433059,1
"38",53.2202359,6.5601303,"Chargers",1001,0
"39",53.218854,6.574909,"Chargers",1001,0
"40",53.2158022,6.5552505,"Chargers",752.935705320922,1
"41",51.577248,4.765333,"Chargers",564.736968198779,1
"42",51.8497069,5.8611854,"Chargers",721.571134276289,1
"43",51.844867,5.855117,"Chargers",364.018646751191,1
"44",51.847467,5.8666279,"Chargers",437.09873499433,1
"45",51.83629,5.8538346,"Chargers",322.474142309784,1
"46",51.8420534,5.8621085,"Chargers",17.2878544067371,1
"47",51.842895,5.844099,"Chargers",654.620098340622,1
"48",51.8443973,5.847327,"Chargers",678.669138589734,1
"49",51.838222,5.837754,"Chargers",425.652463243567,1
"50",52.2060066,6.8917643,"Chargers",129.513168214617,1
"51",52.219081,6.891636,"Chargers",901.142818235835,1
"52",52.2120422,6.890714,"Chargers",228.045480371232,1
"53",52.2230807,6.9067732,"Chargers",208.03911101222,1
"54",52.215806,6.907206,"Chargers",183.064664661483,1
"55",52.3827552,4.6459212,"Chargers",1001,0
"56",52.3768747,4.643366,"Chargers",621.815819671976,1
"57",52.376412,4.6293154,"Chargers",529.845172542147,1
"58",52.3772592,4.6421568,"Chargers",633.243306823984,1
"59",52.3863708,4.6344694,"Chargers",1001,0
"60",52.236746,6.1780219,"Chargers",120.837044219365,1
"61",52.24005,6.1882773,"Chargers",477.876015948572,1
"62",52.2501004,6.1618047,"Chargers",63.2871101840328,1
"63",52.6303878,4.7549187,"Chargers",1001,0
"64",51.9789039,5.906797,"Chargers",61.8470242407971,1
"65",51.9825353,5.9011717,"Chargers",109.970691950787,1
"66",51.986305,5.909333,"Chargers",37.9574426145685,1
"67",51.9787,5.92912,"Chargers",909.455856380941,1
"68",51.989285,5.916297,"Chargers",529.043703915109,1
"69",52.1588903,5.4028878,"Chargers",149.572548451169,1
"70",52.1380702,5.3750815,"Chargers",510.73321474405,1
"71",52.1562306,5.3852424,"Chargers",1001,0
"72",50.8922885,5.9552176,"Chargers",100.277936774731,1
"73",53.197476,5.790471,"Chargers",903.877996286308,1
"74",53.2070966,5.8022162,"Chargers",623.572654546828,1
"75",53.2018,5.8027,"Chargers",1001,0
"76",53.2046718,5.7878215,"Chargers",748.362105568854,1
"77",53.1905318,5.7971086,"Chargers",424.642484916518,1
"78",52.208097,5.963771,"Chargers",1001,0
"79",52.1206416,5.2854435,"Chargers",284.323674765896,1
"80",52.3918194,4.7790753,"Chargers",25.4351281994393,1
"81",52.2976834,4.970103,"Chargers",965.742569349547,1
"82",52.292535,4.972328,"Chargers",1001,0
"83",52.311706,4.8206172,"Chargers",144.296527851005,1
"84",52.287059,4.7826089,"Chargers",31.7084249903048,1
"85",52.3139763,4.6485887,"Chargers",761.537622313576,1
"86",52.3229569,4.6571452,"Chargers",133.232016567918,1
"87",52.3106729,4.6865692,"Chargers",713.765470261939,1
"88",52.319643,4.649789,"Chargers",394.490658958347,1
"89",52.0503452,4.4908055,"Chargers",352.928650415852,1
"90",52.4831917,4.6665515,"Chargers",157.149102479846,1
"91",52.4884059,4.6892122,"Chargers",298.995885556911,1
"92",52.4779197,4.6358483,"Chargers",341.668529808791,1
"93",52.4757187,4.65755,"Chargers",41.8691800079802,1
"94",52.4769464,4.6603061,"Chargers",132.133464789567,1
"95",52.5086827,4.6638769,"Chargers",974.043018330225,1
"96",52.5036982,4.9367917,"Chargers",55.0184548312356,1
"97",52.489992,4.9385996,"Chargers",234.302133669874,1
"98",52.494481,4.9317852,"Chargers",581.868985499223,1
"99",52.5068865,4.9422468,"Chargers",413.196554743788,1
"100",52.345798,5.178148,"Chargers",185.272712640559,1
"101",52.3415887,5.1438539,"Chargers",921.739670387994,1
"102",52.3464845,5.1534443,"Chargers",1001,0
"103",52.5040228,5.4876634,"Chargers",1001,0
"104",52.5022795,5.4697874,"Chargers",1001,0
"105",52.505027,5.4543233,"Chargers",1001,0
"106",52.5024744,5.4871782,"Chargers",1001,0
"107",52.4983178,5.4727052,"Chargers",1001,0
"108",52.5231033,5.4627015,"Chargers",1001,0
"109",52.3940741,5.2829309,"Chargers",1001,0
"110",52.4029878,5.3057968,"Chargers",1001,0
"111",52.340143,5.504829,"Chargers",764.512946460294,1
"112",52.342935,5.5191894,"Chargers",1001,0
"113",52.3349245,5.5361908,"Chargers",1001,0
"114",52.261813,5.1693429,"Chargers",481.483966054542,1
"115",52.2651161,5.1711871,"Chargers",256.600949339269,1
"116",51.9870559,4.5979825,"Chargers",248.180062337991,1
"117",51.9861962,4.5904344,"Chargers",710.912858137679,1
"118",51.9849112,4.5882965,"Chargers",911.99833859218,1
"119",51.9847055,4.5927393,"Chargers",689.936516600624,1
"120",51.9858172,4.5932383,"Chargers",583.418965118802,1
"121",51.813498,4.657108,"Chargers",758.665984646716,1
"122",51.8154691,4.6617468,"Chargers",1001,0
"123",51.836003,4.620008,"Chargers",81.173983453165,1
"124",52.4873509,5.03293,"Chargers",171.995108391261,1
"125",52.4954575,5.0588888,"Chargers",1001,0
"126",52.6448938,5.0495127,"Chargers",873.470344472669,1
"127",52.6529159,5.0679844,"Chargers",1001,0
"128",52.6862043,5.2179715,"Chargers",200.285276803765,1
"129",53.134655,7.0503299,"Chargers",283.22104906626,1
"130",53.166216,7.035114,"Chargers",579.067454657238,1
"131",53.148198,7.03475,"Chargers",1001,0
"132",53.141725,7.037797,"Chargers",1001,0
"133",53.1472081,7.0441476,"Chargers",947.534080773508,1
"134",52.9832205,6.5415387,"Chargers",142.807243023748,1
"135",53.0136608,6.580143,"Chargers",610.293981166243,1
"136",52.989918,6.949991,"Chargers",1001,0
"137",52.776545,6.89111,"Chargers",1001,0
"138",52.779061,6.8905151,"Chargers",1001,0
"139",52.7757862,6.8942,"Chargers",1001,0
"140",52.779666,6.903483,"Chargers",1001,0
"141",52.7864549,6.8925566,"Chargers",261.155215698839,1
"142",52.78719,6.931536,"Chargers",1001,0
"143",52.780695,6.8948478,"Chargers",918.505633192355,1
"144",52.7802337,6.8897718,"Chargers",919.962364695037,1
"145",52.5225777,6.1163227,"Chargers",62.9681551967494,1
"146",52.5145204,6.0980174,"Chargers",804.496920728152,1
"147",52.7104396,5.7516515,"Chargers",1001,0
"148",52.7055091,5.737938,"Chargers",1001,0
"149",52.7051557,5.7326266,"Chargers",806.911211892738,1
"150",52.2872694,6.7731974,"Chargers",43.5657162324943,1
"151",52.2870722,6.7628934,"Chargers",156.12557499946,1
"152",52.2826943,6.77487,"Chargers",96.5637487577658,1
"153",52.7190697,6.4680945,"Chargers",70.9371326200847,1
"154",52.723925,6.492681,"Chargers",1001,0
"155",52.716755,6.491099,"Chargers",719.224283270696,1
"156",52.6948497,6.2049816,"Chargers",66.275651120847,1
"157",52.700795,6.1917099,"Chargers",784.11620666964,1
"158",52.6981846,6.2057394,"Chargers",203.069131296503,1
"159",52.7038528,6.1930083,"Chargers",494.764819388527,1
"160",52.687579,6.189893,"Chargers",790.727368450289,1
"161",52.7956044,6.1400077,"Chargers",98.9379761499775,1
"162",53.1054114,6.1005666,"Chargers",1001,0
"163",53.1083682,6.094432,"Chargers",868.437121950165,1
"164",51.9601625,6.2574091,"Chargers",837.074186795861,1
"165",51.9571144,6.212594,"Chargers",1001,0
"166",51.961712,6.2455051,"Chargers",1001,0
"167",51.9646106,6.2702929,"Chargers",89.3795960342311,1
"168",51.9608232,6.2108686,"Chargers",1001,0
"169",51.8961479,6.3722771,"Chargers",780.325051021324,1
"170",51.9286979,6.3462733,"Chargers",1001,0
"171",51.9155213,6.3436953,"Chargers",414.672204118536,1
"172",51.970209,6.7255694,"Chargers",1001,0
"173",51.974302,6.7284401,"Chargers",1001,0
"174",51.973027,6.7232,"Chargers",1001,0
"175",51.9980612,6.587375,"Chargers",236.8667639758,1
"176",51.9877643,6.5649017,"Chargers",607.389752717263,1
"177",52.1527192,6.2138401,"Chargers",239.338767132247,1
"178",52.13255,6.204348,"Chargers",1001,0
"179",52.139853,6.20474,"Chargers",825.552453281829,1
"180",52.1374992,6.2174763,"Chargers",58.7845020888971,1
"181",52.1273262,6.2242865,"Chargers",450.903910751662,1
"182",52.1333636,6.2104182,"Chargers",630.793213412959,1
"183",52.8968859,4.7201923,"Chargers",1001,0
"184",52.899423,4.71802,"Chargers",1001,0
"185",52.9321416,4.7793665,"Chargers",404.752772723346,1
"186",53.0172031,5.6818712,"Chargers",135.684010489748,1
"187",53.0349029,5.6223892,"Chargers",72.6105119309751,1
"188",52.9599847,5.8363582,"Chargers",145.158903040383,1
"189",51.4611008,5.5551251,"Chargers",146.643415133134,1
"190",51.446065,5.557888,"Chargers",1001,0
"191",51.478107,5.6756719,"Chargers",288.247436430384,1
"192",51.4951836,5.666996,"Chargers",832.437463337355,1
"193",51.4619273,5.7753918,"Chargers",458.570130496305,1
"194",51.4561333,5.7835534,"Chargers",1001,0
"195",51.4623451,5.7706648,"Chargers",445.854519887226,1
"196",51.4578679,5.7851643,"Chargers",1001,0
"197",51.368452,6.165576,"Chargers",1001,0
"198",51.37832,6.153646,"Chargers",1001,0
"199",51.3692575,6.1474875,"Chargers",1001,0
"200",51.3644368,6.1678379,"Chargers",1001,0
"201",51.3724321,6.1608702,"Chargers",1001,0
"202",51.3715086,6.1726912,"Chargers",1001,0
"203",51.3718663,6.1782703,"Chargers",1001,0
"204",51.2654626,5.7313706,"Chargers",545.217187063811,1
"205",51.2491332,5.7048163,"Chargers",816.762768666108,1
"206",51.2456617,5.7004272,"Chargers",365.149395984488,1
"207",51.6929147,5.2686519,"Chargers",363.78233907183,1
"208",51.6930459,5.2780458,"Chargers",739.460632575728,1
"209",51.7194065,5.3353283,"Chargers",71.785173736435,1
"210",51.7086204,5.3393677,"Chargers",349.838531303521,1
"211",51.6534,5.29075,"Chargers",404.961969168396,1
"212",51.65413,5.616009,"Chargers",707.582004115064,1
"213",51.6567461,5.6192717,"Chargers",969.047364970774,1
"214",51.6440334,5.6561312,"Chargers",420.268943021391,1
"215",51.60473,5.52493,"Chargers",650.902457940846,1
"216",51.503064,5.414372,"Chargers",44.3694709840899,1
"217",51.5109744,5.3890865,"Chargers",1049.42251670758,0
"218",51.5354088,5.4788035,"Chargers",69.1415825948594,1
"219",51.5300773,5.9914262,"Chargers",592.647079199887,1
"220",50.8578821,5.8221538,"Chargers",1001,0
"221",50.8666387,5.8274436,"Chargers",1001,0
"222",50.8569585,5.8234051,"Chargers",1001,0
"223",50.856726,5.8256037,"Chargers",1001,0
"224",50.86215,5.8363139,"Chargers",1001,0
"225",50.9306267,5.8163307,"Chargers",1001,0
"226",51.11358,5.8678039,"Chargers",83.5439611301521,1
"227",51.1039226,5.8628435,"Chargers",577.109156049475,1
"228",51.1173054,5.8994816,"Chargers",354.203497729573,1
"229",51.1056917,5.8652913,"Chargers",550.318302329995,1
"230",51.105096,5.861263,"Chargers",407.691962694227,1
"231",51.5929659,4.9220701,"Chargers",1001,0
"232",51.688912,4.8754326,"Chargers",86.2363159256045,1
"233",51.6940473,5.0187612,"Chargers",20.3424307315337,1
"234",51.567718,4.63388,"Chargers",1001,0
"235",51.5004236,4.286558,"Chargers",746.911203714492,1
"236",51.496737,4.290132,"Chargers",1001,0
"237",51.4950755,4.2951956,"Chargers",1001,0
"238",51.5161378,4.2796552,"Chargers",440.713654362976,1
"239",51.5082,4.28389,"Chargers",457.287695339842,1
"240",51.480105,3.625895,"Chargers",173.739008372551,1
"241",51.4959527,3.607906,"Chargers",224.45865288963,1
"242",51.497112,3.6232022,"Chargers",657.556031710516,1
"243",51.496598,3.6183342,"Chargers",428.424757750726,1
"244",51.4839741,3.5983805,"Chargers",328.153804982554,1
"245",50.9152713,5.9555132,"Chargers",1001,0
"246",51.2355159,5.957723,"Chargers",378.084227915476,1
"247",51.4909097,5.453894,"Chargers",476.60098324605,1
"248",51.4914784,5.426004,"Chargers",48.0093926605463,1
"249",52.426827,4.904311,"Chargers",431.108512407663,1
"250",51.9780382,4.4528011,"Chargers",253.105199081957,1
"251",51.9805962,4.4670591,"Chargers",1001,0
"252",51.9552003,4.4549928,"Chargers",402.538386076333,1
"253",51.9638265,4.4705325,"Chargers",618.71361903824,1
"254",52.118187,5.124628,"Chargers",111.673051432809,1
"255",52.1159964,5.1169086,"Chargers",420.237620403365,1
"256",52.1208955,5.0967604,"Chargers",870.83635046032,1
"257",51.618219,4.74707,"Chargers",1001,0
"258",51.6171556,4.7492785,"Chargers",1001,0
"259",51.8920397,5.8296638,"Chargers",147.4108071319,1
"260",52.2503561,6.9123022,"Chargers",198.27559828138,1
"261",52.4160184,4.6522194,"Chargers",377.08490501952,1
"262",52.4384394,4.6553841,"Chargers",229.003637918103,1
"263",52.4314458,4.6644854,"Chargers",735.304814300298,1
"264",52.4302889,4.6619542,"Chargers",946.230922250395,1
"265",52.4316763,4.6518457,"Chargers",301.180643167919,1
"266",52.4329956,4.6409562,"Chargers",440.162059822692,1
"267",52.0482575,4.3491515,"Chargers",196.575536427451,1
"268",52.0482477,4.3497427,"Chargers",180.620702801065,1
"269",52.0593999,4.3622292,"Chargers",457.785762332119,1
"270",52.6632694,4.757784,"Chargers",701.367066004747,1
"271",52.6626215,4.768193,"Chargers",288.029337789576,1
"272",52.6626716,4.7191675,"Chargers",1001,0
"273",52.008711,5.8978195,"Chargers",1001,0
"274",52.0178438,5.9263287,"Chargers",46.4809587638086,1
"275",52.0240567,5.8804073,"Chargers",52.5156984580916,1
"276",52.0082601,5.9429789,"Chargers",110.456638968792,1
"277",52.1903027,5.4049591,"Chargers",111.46978985496,1
"278",52.196122,5.399235,"Chargers",11.9933352689012,1
"279",52.1957957,5.3981432,"Chargers",94.3960130532614,1
"280",52.1935587,5.3942542,"Chargers",134.801484386333,1
"281",52.195096,5.3893948,"Chargers",22.5390162094495,1
"282",52.2366562,5.9768086,"Chargers",18.5926391636657,1
"283",52.17612,5.27027,"Chargers",157.914754273737,1
"284",52.3541684,4.9731921,"Chargers",527.824970553038,1
"285",52.3524993,4.9709383,"Chargers",344.026399876746,1
"286",52.353578,4.794903,"Chargers",1001,0
"287",52.3520926,4.8017871,"Chargers",1001,0
"288",52.356617,4.788988,"Chargers",1001,0
"289",52.3514855,4.7941321,"Chargers",1001,0
"290",52.348689,4.805407,"Chargers",1001,0
"291",52.3582863,4.7958288,"Chargers",1001,0
"292",52.366516,4.652344,"Chargers",390.390905740123,1
"293",52.3851339,4.6616619,"Chargers",276.321145693261,1
"294",52.3591738,4.6560478,"Chargers",1001,0
"295",51.9874342,4.3546045,"Chargers",9.64081544480174,1
"296",51.9924499,4.3551621,"Chargers",333.368652627532,1
"297",51.987261,4.3500438,"Chargers",63.5897599799592,1
"298",51.91815,4.52568,"Chargers",346.120896310218,1
"299",51.9174055,4.5155242,"Chargers",143.890914153697,1
"300",51.8919469,4.5421131,"Chargers",469.789622453191,1
"301",51.89458,4.530808,"Chargers",36.5366190100922,1
"302",52.528661,4.651282,"Chargers",1001,0
"303",52.5507437,4.8045517,"Chargers",236.172947459926,1
"304",52.380351,5.18936,"Chargers",333.827366181852,1
"305",52.3703523,5.1796961,"Chargers",553.483466768503,1
"306",52.3711781,5.1796076,"Chargers",530.781346267262,1
"307",51.868236,4.662954,"Chargers",1001,0
"308",51.8662467,4.6722071,"Chargers",1001,0
"309",51.8556529,4.67248,"Chargers",142.400004340283,1
"310",51.8499717,4.6802651,"Chargers",38.1417995114668,1
"311",51.901523,4.74463,"Chargers",1001,0
"312",52.0387534,4.2389005,"Chargers",226.223687003626,1
"313",52.514838,5.047311,"Chargers",127.271274633107,1
"314",52.7467619,5.2152956,"Chargers",1001,0
"315",52.72945,5.1864121,"Chargers",1001,0
"316",53.194435,7.00966,"Chargers",1001,0
"317",53.026018,6.572122,"Chargers",27.6990786554567,1
"318",52.52529,6.050613,"Chargers",176.224516090838,1
"319",52.520173,6.0435359,"Chargers",776.541938440901,1
"320",52.522163,6.0502226,"Chargers",458.053941463222,1
"321",52.5349375,6.0551276,"Chargers",920.233916630536,1
"322",52.5176121,6.0566891,"Chargers",59.6366637327145,1
"323",52.7741939,6.4458824,"Chargers",20.1325117835507,1
"324",52.7509842,6.1899661,"Chargers",58.378262565466,1
"325",52.7312304,6.1761867,"Chargers",1001,0
"326",52.7528626,6.1864882,"Chargers",122.084589441172,1
"327",52.4150638,6.6215012,"Chargers",793.527810533741,1
"328",52.4088442,6.599434,"Chargers",1001,0
"329",52.0063997,6.233614,"Chargers",294.818060552433,1
"330",52.041301,6.6130406,"Chargers",479.789589356672,1
"331",52.197473,6.6386069,"Chargers",285.308566155504,1
"332",52.1779584,6.6571573,"Chargers",1001,0
"333",52.3668734,6.4653193,"Chargers",88.6996594761448,1
"334",52.3650181,6.4638378,"Chargers",133.239692068801,1
"335",52.371773,6.466283,"Chargers",550.393019579851,1
"336",52.3655564,6.4690456,"Chargers",45.424332650832,1
"337",52.3671164,6.4588694,"Chargers",148.086153769461,1
"338",52.9569349,4.7745825,"Chargers",131.624189569517,1
"339",52.956759,4.761786,"Chargers",389.497128854076,1
"340",51.7508171,5.2694469,"Chargers",1001,0
"341",51.757296,5.2650772,"Chargers",1001,0
"342",51.734641,5.372365,"Chargers",1001,0
"343",51.7333973,5.3344802,"Chargers",1001,0
"344",51.690701,5.30264,"Chargers",1001,0
"345",51.700058,5.314244,"Chargers",1001,0
"346",51.6940305,5.3094414,"Chargers",1001,0
"347",51.7242261,5.637099,"Chargers",1001,0
"348",51.5677937,5.3747877,"Chargers",1001,0
"349",51.5563835,5.3619321,"Chargers",104.649431841887,1
"350",51.5966256,6.011039,"Chargers",1001,0
"351",50.9565259,5.813401,"Chargers",123.657559333567,1
"352",50.958058,5.816784,"Chargers",401.045365866079,1
"353",50.9718999,5.7908295,"Chargers",171.62603962514,1
"354",50.9746986,5.7834495,"Chargers",225.665622219527,1
"355",51.378047,6.0004989,"Chargers",51.3845869470756,1
"356",51.380057,5.9856,"Chargers",80.4723182951674,1
"357",51.379788,5.9848186,"Chargers",32.0864153964325,1
"358",51.3766342,5.9850199,"Chargers",32.9774645219298,1
"359",51.4243599,5.505891,"Chargers",559.776237968634,1
"360",51.415537,5.4974109,"Chargers",25.3066256789142,1
"361",51.4249032,5.5011304,"Chargers",300.624092102659,1
"362",51.427418,5.515251,"Chargers",941.060025622989,1
"363",51.64418,4.96281,"Chargers",1001,0
"364",51.6351803,4.940687,"Chargers",1001,0
"365",51.6344768,4.9424303,"Chargers",1001,0
"366",51.6312676,4.9308382,"Chargers",906.351821396105,1
"367",51.6319333,4.9507123,"Chargers",1001,0
"368",51.659701,4.9437324,"Chargers",1001,0
"369",51.5490936,3.5907102,"Chargers",746.735165326962,1
"370",51.5549279,3.601188,"Chargers",53.5448890857192,1
"371",50.8164585,5.7253236,"Chargers",227.168998796255,1
"372",50.8143623,5.6692577,"Chargers",1001,0
"373",50.8243074,5.6738053,"Chargers",1001,0
"374",50.8123877,5.7216012,"Chargers",50.63383698881,1
"375",50.8561726,6.0062284,"Chargers",288.715336898058,1
"376",50.8340917,5.9788848,"Chargers",1001,0
"377",51.3879,5.44007,"Chargers",1001,0
"378",51.390831,5.433877,"Chargers",1001,0
"379",52.3214474,4.881101,"Chargers",757.375115252994,1
"380",52.3349975,4.8863391,"Chargers",214.256619744973,1
"381",52.3276041,4.8864122,"Chargers",741.400163734772,1
"382",52.328102,4.888774,"Chargers",647.46164287591,1
"383",51.8755833,4.4969973,"Chargers",574.446710326364,1
"384",51.8686246,4.4541128,"Chargers",108.459651896784,1
"385",51.8896326,4.499134,"Chargers",43.3262225879116,1
"386",52.0415697,5.1439921,"Chargers",243.000232577019,1
"387",52.057509,5.103915,"Chargers",90.4049731410589,1
"388",52.0632783,5.1178242,"Chargers",487.907538621675,1
"389",52.041039,5.1459545,"Chargers",380.603915998811,1
"390",52.0495305,5.1443203,"Chargers",67.2952234308277,1
"391",52.0499124,5.1222726,"Chargers",612.16912849201,1
"392",52.0504745,5.098344,"Chargers",959.399360138657,1
"393",51.518158,5.1199199,"Chargers",105.948475483941,1
"394",51.5233373,5.1165646,"Chargers",119.9357477558,1
"395",53.1917364,6.5489461,"Chargers",712.445648667594,1
"396",53.1885937,6.5552938,"Chargers",695.107223057946,1
"397",51.54928,4.797257,"Chargers",1001,0
"398",51.8084264,5.8385454,"Chargers",17.6612058434806,1
"399",51.8167944,5.8250733,"Chargers",175.754384865072,1
"400",51.813451,5.831973,"Chargers",205.091964063728,1
"401",52.335656,4.619548,"Chargers",1001,0
"402",51.9792072,4.3492024,"Chargers",797.888375182007,1
"403",51.9439036,4.3685638,"Chargers",657.921873791405,1
"404",51.9812038,4.3661157,"Chargers",974.141992564404,1
"405",51.940872,5.8954715,"Chargers",1001,0
"406",51.940481,5.923935,"Chargers",1001,0
"407",51.9421111,5.8860992,"Chargers",504.576364596459,1
"408",51.93893,5.919555,"Chargers",1001,0
"409",51.9422609,5.9201057,"Chargers",1001,0
"410",52.1209749,5.4196796,"Chargers",1001,0
"411",53.161515,5.800575,"Chargers",108.641681627298,1
"412",53.1720553,5.794307,"Chargers",162.552929369742,1
"413",53.1722876,5.7931624,"Chargers",82.0210233235495,1
"414",53.1593854,5.7854786,"Chargers",89.3007957453693,1
"415",52.1788831,5.9847762,"Chargers",115.95995818342,1
"416",52.1639754,5.9657393,"Chargers",258.941523278679,1
"417",52.0536758,5.2798591,"Chargers",34.9955700984943,1
"418",52.0639074,5.2573881,"Chargers",290.430330981666,1
"419",52.3559924,4.773582,"Chargers",1001,0
"420",52.2678638,4.9761096,"Chargers",834.411378938427,1
"421",52.2392759,4.973391,"Chargers",64.9727571730271,1
"422",52.2548109,4.959994,"Chargers",460.321336932242,1
"423",52.2704229,4.9691486,"Chargers",557.316179444242,1
"424",52.2773437,4.8132904,"Chargers",133.282871710557,1
"425",52.2749735,4.7949371,"Chargers",665.761056254483,1
"426",52.253689,4.816897,"Chargers",375.185830342743,1
"427",52.277243,4.798629,"Chargers",736.694546500432,1
"428",52.261445,4.687536,"Chargers",86.8721872769847,1
